name,02/29/2020,02/28/2019,02/28/2018,02/28/2017,02/29/2016,02/28/2015,02/28/2014,02/28/2013,02/29/2012,02/28/2011,02/28/2010,02/28/2009,02/29/2008,02/28/2007,02/28/2006,02/28/2005,02/29/2004,02/28/2003,02/28/2002,02/28/2001,02/29/2000,02/28/1999,02/28/1998,02/28/1997
TotalAssets,"21,082,182,000","18,717,867,000","17,486,272,000","16,279,356,000","14,481,576,000","13,198,201,000","11,707,157,000","9,888,602,000","8,331,543,000","6,839,909,000","2,556,191,000","2,379,187,000","2,333,161,000","1,885,573,000","1,489,247,000","1,293,013,000","1,037,017,000","917,617,000","720,222,000","710,953,000","675,495,000","571,200,000","448,300,000","427,200,000"
	CurrentAssets,"3,663,687,000","3,214,013,000","3,061,444,000","2,873,630,000","2,471,781,000","2,599,038,000","2,643,224,000","2,310,131,000","1,853,448,000","1,410,098,000","1,556,412,000","1,287,752,000","1,356,925,000","1,150,516,000","941,738,000","864,956,000","773,481,000","708,745,000","577,703,000","492,907,000","425,670,000","341,100,000","232,600,000","333,300,000"
		CashCashEquivalentsAndShortTermInvestments,"58,211,000","46,938,000","44,525,000","38,416,000","37,394,000","27,606,000","627,901,000","449,364,000","442,658,000","41,121,000","18,278,000","140,597,000","12,965,000","19,455,000","21,759,000","29,099,000","61,643,000","34,615,000","3,286,000","8,802,000","9,981,000","17,700,000","26,400,000","170,400,000"
			CashAndCashEquivalents,"58,211,000","46,938,000","44,525,000","38,416,000","37,394,000","27,606,000","627,901,000","449,364,000","442,658,000","41,121,000","18,278,000","140,597,000","12,965,000","19,455,000","21,759,000","29,099,000","61,643,000","34,615,000","3,286,000","8,802,000","9,981,000","17,700,000","26,400,000","170,400,000"
		Receivables,"191,090,000","139,850,000","133,321,000","152,388,000","132,171,000","137,690,000","79,923,000","91,961,000","86,434,000","119,597,000","682,389,000","433,886,000","348,973,000","279,877,000","239,068,000","246,282,000","237,127,000","195,044,000","173,268,000","134,662,000","129,253,000","97,400,000","60,900,000","76,500,000"
			AccountsReceivable,"191,090,000","139,850,000","133,321,000","152,388,000","132,171,000","137,690,000","79,923,000","91,961,000","86,434,000","119,597,000","99,434,000","75,876,000","73,228,000","71,413,000","76,621,000","76,167,000","72,358,000","56,449,000","173,268,000","134,662,000",,,,
			LoansReceivable,,,,,,,,,,"0","30,578,000","9,748,000","4,984,000","6,162,000","4,139,000","22,152,000","18,781,000","3,579,000",,,,,,
			AccruedInterestReceivable,,,,,,,,,,"0","552,377,000","348,262,000",,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,"270,761,000","202,302,000","158,308,000","147,963,000","145,988,000","135,016,000",,,,,,
		Inventory,"2,846,416,000","2,519,455,000","2,390,694,000","2,260,563,000","1,932,029,000","2,086,874,000","1,641,424,000","1,517,813,000","1,092,592,000","1,049,477,000","843,133,000","703,157,000","975,777,000","836,116,000","669,700,000","576,567,000","466,061,000","466,450,000","399,084,000","347,137,000","283,592,000","225,500,000","144,000,000","82,300,000"
		PrepaidAssets,,,,,,,,,,,"7,017,000","10,112,000","19,210,000","15,068,000","11,211,000","13,008,000","8,650,000","12,636,000","2,065,000","2,306,000",,,,
		RestrictedCash,"481,043,000","440,669,000","399,442,000","380,353,000","343,829,000","294,122,000","259,299,000","224,287,000","204,314,000","161,052,000",,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,"8,100,000","7,866,000","5,193,000","9,938,000","5,191,000","5,595,000",,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,"8,100,000","7,866,000","5,193,000","9,938,000","5,191,000","5,595,000",,,,,,,,,,,,,
		OtherCurrentAssets,"86,927,000","67,101,000","93,462,000","41,910,000","26,358,000","44,646,000","26,811,000","21,513,000","17,512,000","33,660,000",,,,,,,,,,,"2,844,000","500,000","1,300,000","4,100,000"
	TotalNonCurrentAssets,"17,418,495,000","15,503,854,000","14,424,828,000","13,405,726,000","12,009,795,000","10,599,163,000","9,063,933,000","7,578,471,000","6,478,095,000","5,429,811,000","999,779,000","1,091,435,000","976,236,000","735,057,000","547,509,000","428,057,000","263,536,000","208,872,000","142,519,000","218,046,000","249,825,000","230,100,000","215,700,000","93,900,000"
		NetPPE,"3,518,196,000","2,828,058,000","2,667,061,000","2,518,393,000","2,161,698,000","1,861,347,000","1,651,927,000","1,424,098,000","1,278,722,000","920,045,000","893,453,000","938,259,000","862,497,000","651,850,000","499,298,000","406,301,000","244,064,000","187,158,000","120,976,000","192,158,000","211,856,000","203,900,000","214,100,000","92,200,000"
			GrossPPE,"4,785,116,000","4,125,451,000","3,831,310,000","3,559,770,000","3,087,017,000","2,684,053,000","2,382,483,000","2,073,079,000","1,855,363,000","1,246,870,000","1,171,374,000","1,164,427,000","1,037,791,000","789,222,000","603,545,000","494,465,000","313,297,000","248,270,000","171,063,000","234,024,000","239,569,000","219,700,000","221,500,000","95,000,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,
				LandAndImprovements,"948,172,000","870,225,000","799,318,000","726,000,000","595,195,000","548,403,000","516,905,000","443,890,000","359,807,000","297,655,000","261,541,000","238,441,000","206,018,000","153,590,000","93,413,000","46,398,000","32,459,000","30,793,000","37,506,000","154,834,000",,,,
				BuildingsAndImprovements,"2,186,945,000","2,211,929,000","2,081,785,000","1,934,730,000","1,650,168,000","1,389,063,000","1,244,772,000","1,119,577,000","1,033,034,000","539,711,000","519,907,000","509,682,000","462,130,000","318,855,000","194,251,000","94,393,000","60,412,000","18,381,000",,,,,,
				MachineryFurnitureEquipment,"750,888,000","671,166,000","600,739,000","525,177,000","443,050,000","389,650,000","343,958,000","311,646,000","273,280,000","248,944,000","236,194,000","230,552,000","199,996,000","174,884,000","154,378,000","125,734,000","103,787,000","86,129,000","69,435,000","64,866,000",,,,
				OtherProperties,"449,094,000",,,,,"1,739,000","1,739,000","1,739,000","1,739,000","32,379,000","30,640,000","30,640,000","29,258,000","37,122,000","37,122,000","29,258,000",,"21,029,000",,,,,,
				ConstructionInProgress,"171,236,000","125,010,000","134,354,000","179,891,000","224,109,000","209,058,000","145,923,000","89,532,000","92,393,000","44,894,000","37,137,000","71,289,000","140,389,000","104,771,000","124,381,000","198,682,000","116,639,000","91,938,000","64,122,000","14,324,000",,,,
				Leases,"278,781,000","247,121,000","215,114,000","193,972,000","174,495,000","146,140,000","129,186,000","106,695,000","95,110,000","83,287,000","85,955,000","83,823,000",,,,,,,,,,,,
			AccumulatedDepreciation,"-1,266,920,000","-1,297,393,000","-1,164,249,000","-1,041,377,000","-925,319,000","-822,706,000","-730,556,000","-648,981,000","-576,641,000","-326,825,000","-277,921,000","-226,168,000","-175,294,000","-137,372,000","-104,247,000","-88,164,000","-69,233,000","-61,112,000","-50,087,000","-41,866,000","-27,713,000","-15,800,000","-7,400,000","-2,800,000"
		NonCurrentNoteReceivables,"13,551,711,000","12,428,487,000","11,535,704,000","10,596,076,000","9,536,892,000","8,435,504,000","7,147,848,000","5,895,918,000","4,959,847,000","4,320,575,000",,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"89,842,000","61,346,000","63,256,000","150,962,000","161,862,000","167,638,000","152,199,000","145,875,000","133,134,000","92,278,000","57,234,000","103,163,000","67,066,000","40,174,000","4,211,000",,"185,000",,,,,,,
