name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"48,594,000,000","56,312,000,000","57,990,000,000","70,591,000,000","70,321,000,000","70,507,000,000","70,046,000,000","70,156,000,000","71,478,000,000","71,987,000,000","73,569,000,000","74,862,000,000","76,175,000,000","77,956,000,000","80,594,000,000","81,171,000,000","69,141,000,000","68,005,000,000","63,342,000,000","64,753,000,000","65,411,000,000","66,904,000,000","68,320,000,000","68,086,000,000","66,717,000,000","67,100,000,000","65,123,000,000","63,251,000,000","61,428,000,000","61,547,000,000","59,441,000,000","57,013,000,000","56,366,000,000","55,201,000,000","55,581,000,000","54,019,000,000","52,372,000,000","51,767,000,000","49,854,000,000","33,017,000,000","32,883,000,000","33,465,000,000","33,075,000,000","32,960,000,000","32,997,141,000","31,990,725,000","31,597,676,000","29,994,939,000","28,954,369,000","27,853,372,000","26,306,514,000","24,772,762,000","23,508,784,000","22,832,138,000","20,736,867,000","20,224,367,000","18,541,536,000","18,077,492,000","17,235,556,000","16,892,618,000","16,402,810,000","16,000,777,000","15,655,475,000","15,734,583,000","17,336,304,000","20,041,326,000","19,016,922,000","20,992,706,000","19,243,880,000","19,435,195,000","22,408,368,000","22,848,362,000","22,087,959,000","22,326,367,000","23,064,036,000","22,687,771,000","18,222,966,000","17,172,731,000","15,722,009,000","15,622,814,000","15,172,481,000","15,081,200,000","16,359,400,000","15,742,700,000","15,793,300,000","16,077,900,000","16,160,900,000","12,725,500,000","12,262,000,000","12,096,700,000","11,503,400,000","10,800,700,000","10,338,500,000","10,325,100,000","9,772,700,000","9,207,100,000","8,958,100,000","8,910,100,000","8,612,600,000","8,630,600,000","8,547,000,000","8,322,100,000","8,122,200,000","8,047,300,000","7,984,300,000","7,916,900,000","7,950,800,000","8,043,900,000","8,012,400,000","7,006,700,000","7,091,100,000","7,009,100,000","6,745,700,000","6,853,500,000","6,503,200,000","6,397,400,000","6,276,800,000","6,175,700,000","5,887,000,000","5,688,800,000","5,446,900,000","5,481,800,000","5,600,200,000","6,741,000,000","8,011,800,000","11,282,200,000"
	CurrentAssets,"16,266,000,000","15,530,000,000","16,151,000,000","16,333,000,000","15,773,000,000","15,731,000,000","16,483,000,000","16,900,000,000","18,055,000,000","18,497,000,000","19,914,000,000","21,273,000,000","21,883,000,000","23,927,000,000","26,425,000,000","27,195,000,000","27,700,000,000","26,912,000,000","21,532,000,000","22,861,000,000","23,394,000,000","24,694,000,000","25,473,000,000","25,414,000,000","25,353,000,000","26,225,000,000","25,093,000,000","23,799,000,000","23,727,000,000","24,156,000,000","22,951,000,000","21,040,000,000","21,292,000,000","20,539,000,000","21,260,000,000","19,942,000,000","18,211,000,000","18,098,000,000","16,446,000,000","12,230,000,000","13,065,000,000","13,650,000,000","13,382,000,000","13,655,000,000","13,934,454,000","12,893,677,000","13,077,861,000","11,897,298,000","11,645,960,000","11,055,383,000","10,935,729,000","10,047,832,000","9,471,627,000","9,185,662,000","7,991,981,000","7,866,884,000","8,687,603,000","8,553,913,000","7,772,326,000","7,559,051,000","7,498,822,000","7,059,749,000","6,869,677,000","7,085,343,000","8,020,548,000","10,369,121,000","7,531,757,000","9,008,343,000","7,105,140,000","7,185,440,000","7,480,231,000","7,810,687,000","7,506,217,000","7,704,890,000","8,346,892,000","7,991,952,000","7,689,593,000","7,493,211,000","7,875,251,000","7,861,583,000","8,711,894,000","8,606,000,000","8,638,000,000","8,566,900,000","8,478,300,000","8,805,200,000","8,989,600,000","6,520,100,000","6,235,700,000","6,071,200,000","5,665,300,000","5,492,500,000","5,043,500,000","5,042,600,000","4,748,000,000","4,379,500,000","4,094,600,000","4,023,700,000","3,931,200,000","4,004,800,000","3,900,100,000","3,823,800,000","3,855,200,000","3,664,500,000","3,580,400,000","3,476,200,000","3,901,400,000","3,977,300,000","3,884,100,000","3,452,800,000","3,662,800,000","3,586,100,000","3,489,800,000","3,565,500,000","3,361,800,000","3,212,100,000","3,115,900,000","3,246,500,000","3,170,200,000","3,081,100,000","2,952,800,000","3,030,800,000","3,222,600,000","4,418,300,000","5,412,000,000","6,640,200,000"
		CashCashEquivalentsAndShortTermInvestments,"3,344,000,000","2,167,000,000","2,292,000,000","2,348,000,000","2,155,000,000","2,777,000,000","2,854,000,000","3,049,000,000","4,165,000,000","5,089,000,000","4,952,000,000","6,218,000,000","7,353,000,000","9,257,000,000","10,756,000,000","11,192,000,000","14,432,000,000","13,034,000,000","6,605,000,000","7,274,000,000","6,803,000,000","7,501,000,000","6,759,000,000","6,699,000,000","7,078,000,000","8,370,000,000","6,435,000,000","5,925,000,000","5,561,000,000","6,274,000,000","4,760,000,000","3,493,000,000","4,085,000,000","4,827,000,000","6,064,000,000","4,933,000,000","4,163,000,000","4,990,000,000","2,625,000,000","3,078,000,000","4,203,000,000","4,616,000,000","4,229,000,000","4,411,000,000","4,185,758,000","3,691,670,000","3,493,419,000","2,899,893,000","3,153,439,000","3,169,033,000","3,238,119,000","2,884,587,000","2,590,905,000","2,998,873,000","1,901,219,000","2,108,283,000","3,233,842,000","3,495,681,000","3,002,992,000","2,913,480,000","3,040,024,000","2,997,425,000","2,540,349,000","2,559,101,000","2,833,005,000","3,108,973,000","2,018,213,000","3,217,852,000","1,470,273,000","1,736,016,000","1,558,289,000","1,712,404,000","1,421,185,000","1,617,701,000","1,483,742,000","1,505,515,000","2,526,782,000","3,040,150,000","3,750,870,000","3,695,676,000","4,299,436,000","4,389,800,000","4,021,500,000","4,022,846,000","3,902,800,000","3,956,700,000","3,867,200,000","1,781,300,000","1,704,700,000","1,761,100,000","109,200,000","1,442,200,000","1,201,600,000","1,358,900,000","1,220,600,000","84,600,000","91,500,000","72,500,000","51,200,000","56,500,000","52,600,000","57,700,000","45,500,000","54,400,000","61,800,000","63,700,000","61,200,000","46,500,000","69,300,000","40,300,000","46,600,000","39,400,000","38,900,000","39,000,000","48,400,000","46,000,000","49,400,000","47,900,000","54,700,000","63,200,000","57,400,000","53,900,000","1,449,100,000","2,568,600,000","3,810,400,000","4,590,100,000"
			CashAndCashEquivalents,"1,375,000,000","1,137,000,000","1,183,000,000","1,466,000,000","1,230,000,000","1,433,000,000","1,493,000,000","1,461,000,000","1,865,000,000","1,799,000,000","1,690,000,000","1,903,000,000","1,902,000,000","2,929,000,000","3,441,000,000","2,947,000,000","2,080,000,000","2,793,000,000","3,172,000,000","3,541,000,000","2,121,000,000","3,130,000,000","3,118,000,000","2,267,000,000","3,752,000,000","3,472,000,000","3,149,000,000","2,586,000,000","2,129,000,000","1,905,000,000","1,852,000,000","1,521,000,000","1,346,000,000","1,705,000,000","1,732,000,000","1,378,000,000","1,475,000,000","1,764,000,000","1,114,000,000","229,000,000","271,000,000","243,000,000","194,000,000","216,000,000","191,695,000","188,928,000","187,753,000","185,724,000","145,093,000","197,233,000","162,010,000","146,555,000","135,320,000","165,817,000","156,121,000","173,012,000","153,317,000","190,954,000","183,821,000","172,495,000","222,241,000","223,503,000","201,201,000","170,206,000","157,328,000","234,192,000","140,798,000","263,965,000","145,506,000","168,110,000","153,831,000","153,359,000","127,654,000","177,704,000","226,889,000","1,505,515,000","2,526,782,000","3,040,150,000","3,750,870,000","3,695,676,000","4,299,436,000","4,389,800,000","4,021,500,000","4,022,846,000","3,902,800,000","3,956,700,000","3,867,200,000","1,781,300,000","1,704,700,000","1,761,100,000","109,200,000","1,442,200,000","1,201,600,000","1,358,900,000","1,220,600,000","84,600,000","91,500,000","72,500,000","51,200,000","56,500,000","52,600,000","57,700,000","45,500,000","54,400,000","61,800,000","63,700,000","61,200,000","46,500,000","69,300,000","40,300,000","46,600,000","39,400,000","38,900,000","39,000,000","48,400,000","46,000,000","49,400,000","47,900,000","54,700,000","63,200,000","57,400,000","53,900,000","1,449,100,000","2,568,600,000","3,810,400,000","4,590,100,000"
				CashFinancial,"1,375,000,000","1,137,000,000","1,183,000,000","1,466,000,000","1,230,000,000","1,433,000,000","1,493,000,000","1,461,000,000","1,865,000,000","1,799,000,000","1,690,000,000","1,903,000,000","1,902,000,000","2,929,000,000","3,441,000,000","2,947,000,000","2,080,000,000","2,793,000,000","3,172,000,000","3,541,000,000","2,121,000,000","3,130,000,000","3,118,000,000","2,267,000,000","3,752,000,000","3,472,000,000","3,149,000,000","2,586,000,000","2,129,000,000","1,905,000,000","1,852,000,000","1,521,000,000","1,346,000,000",,"1,732,000,000","1,378,000,000","1,475,000,000",,"1,114,000,000","229,000,000","271,000,000","243,000,000","194,000,000","216,000,000","191,695,000","188,928,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"1,969,000,000","1,030,000,000","1,109,000,000","882,000,000","925,000,000","1,344,000,000","1,361,000,000","1,588,000,000","2,300,000,000","3,290,000,000","3,262,000,000","4,315,000,000","5,451,000,000","6,328,000,000","7,315,000,000","8,245,000,000","12,352,000,000","10,241,000,000","3,433,000,000","3,733,000,000","4,682,000,000","4,371,000,000","3,641,000,000","4,432,000,000","3,326,000,000","4,898,000,000","3,286,000,000","3,339,000,000","3,432,000,000","4,369,000,000","2,908,000,000","1,972,000,000","2,739,000,000","3,122,000,000","4,332,000,000","3,555,000,000","2,688,000,000","3,226,000,000","1,511,000,000","2,849,000,000","3,932,000,000","4,373,000,000","4,035,000,000","4,195,000,000","3,994,063,000","3,502,742,000","3,305,666,000","2,714,169,000","3,008,346,000","2,971,800,000","3,076,109,000","2,738,032,000","2,455,585,000","2,833,056,000","1,745,098,000","1,935,271,000","3,080,525,000","3,304,727,000","2,819,171,000","2,740,985,000","2,817,783,000","2,773,922,000","2,339,148,000","2,388,895,000","2,675,677,000","2,874,781,000","1,877,415,000","2,953,887,000","1,324,767,000","1,567,906,000","1,404,458,000","1,559,045,000","1,293,531,000","1,439,997,000","1,256,853,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"7,486,000,000","7,747,000,000","8,332,000,000","8,471,000,000","8,171,000,000","7,881,000,000","8,409,000,000","8,606,000,000","8,472,000,000","8,084,000,000","9,436,000,000","8,925,000,000","8,636,000,000","9,387,000,000","9,565,000,000","9,374,000,000","8,382,000,000","8,780,000,000","9,372,000,000","9,569,000,000","10,443,000,000","11,171,000,000","12,352,000,000","12,251,000,000","11,680,000,000","11,497,000,000","12,057,000,000","11,277,000,000","11,502,000,000","11,351,000,000","11,450,000,000","10,802,000,000","10,401,000,000","9,500,000,000","9,493,000,000","9,356,000,000","8,891,000,000","8,278,000,000","8,600,000,000","6,234,000,000","5,972,000,000","6,088,000,000","6,087,000,000","6,107,000,000","6,653,060,000","6,257,861,000","6,701,875,000","6,211,511,000","5,781,455,000","5,361,114,000","5,301,612,000","4,896,449,000","4,688,452,000","4,242,000,000","4,143,208,000","3,944,713,000","3,760,505,000","3,383,803,000","3,260,056,000","3,056,509,000","2,979,832,000","2,663,642,000","2,893,882,000","2,778,049,000","2,819,721,000","2,568,425,000","3,759,873,000","3,785,572,000","3,657,754,000","3,489,406,000","3,746,090,000","3,900,196,000","3,914,222,000","4,028,450,000","4,493,966,000","4,253,233,000","3,172,804,000","2,768,848,000","2,530,680,000","2,616,429,000","2,542,726,000","2,429,800,000","2,694,000,000","2,658,000,000","2,739,300,000","2,968,100,000","3,158,800,000","3,110,800,000","2,952,600,000","2,819,900,000","2,680,700,000","2,568,100,000","2,384,100,000","2,260,100,000","2,180,400,000","2,100,700,000","1,988,900,000","1,939,900,000","1,851,800,000","1,786,900,000","1,841,700,000","1,761,000,000","1,693,000,000","1,658,900,000",,"1,545,900,000","1,621,700,000","1,699,300,000","1,704,300,000","1,435,000,000","1,452,100,000","1,478,000,000","1,420,100,000","1,402,900,000","1,315,800,000","1,350,800,000","1,303,500,000","1,259,100,000","1,189,300,000","1,146,300,000","1,104,700,000","1,103,600,000","1,129,600,000","1,099,100,000","974,700,000","1,273,000,000"
			AccountsReceivable,"7,486,000,000","7,747,000,000","8,332,000,000","8,471,000,000","8,171,000,000","7,881,000,000","8,409,000,000","8,606,000,000","8,472,000,000","8,084,000,000","9,436,000,000","8,925,000,000","8,636,000,000","9,387,000,000","9,565,000,000","9,374,000,000","8,382,000,000","8,780,000,000","9,372,000,000","9,569,000,000","10,443,000,000","11,171,000,000","12,352,000,000","12,251,000,000","11,680,000,000","11,497,000,000","12,057,000,000","11,277,000,000","11,502,000,000","11,351,000,000","11,450,000,000","10,802,000,000","10,401,000,000",,"9,493,000,000","9,356,000,000","8,891,000,000","8,278,000,000","8,600,000,000","6,234,000,000","5,972,000,000","6,088,000,000","6,087,000,000","6,107,000,000","6,653,060,000","6,257,861,000","6,701,875,000","6,211,511,000","5,781,455,000","5,361,114,000","5,301,612,000","4,896,449,000","4,688,452,000","4,242,000,000","4,143,208,000","3,944,713,000","3,760,505,000","3,383,803,000","3,260,056,000","3,056,509,000","2,979,832,000","2,663,642,000","2,893,882,000","2,778,049,000","2,819,721,000","2,568,425,000","3,759,873,000","3,785,572,000","3,657,754,000","3,489,406,000","3,746,090,000","3,900,196,000","3,914,222,000","4,028,450,000","4,493,966,000","4,253,233,000","3,172,804,000","2,768,848,000","2,530,680,000","2,616,429,000","2,542,726,000","2,429,800,000","2,694,000,000","2,658,000,000","2,739,300,000","2,968,100,000","3,158,800,000","3,110,800,000","2,952,600,000","2,819,900,000","2,680,700,000","2,568,100,000","2,384,100,000","2,260,100,000","2,180,400,000","2,100,700,000","1,988,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"7,735,000,000","8,002,000,000","8,570,000,000","8,709,000,000","8,415,000,000","8,130,000,000","8,654,000,000","8,855,000,000","8,707,000,000","8,325,000,000","9,757,000,000","9,270,000,000","8,992,000,000","9,784,000,000","9,936,000,000","9,755,000,000","8,715,000,000","9,113,000,000","9,680,000,000","9,851,000,000","10,735,000,000","11,446,000,000","12,634,000,000","12,658,000,000","12,047,000,000","11,881,000,000","12,311,000,000","11,471,000,000","11,709,000,000","11,553,000,000","11,637,000,000","10,971,000,000","10,572,000,000",,"9,675,000,000","9,559,000,000","9,068,000,000",,"8,756,000,000","6,375,000,000","6,116,000,000","6,248,000,000","6,236,000,000","6,256,000,000","6,805,747,000","6,391,046,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-249,000,000","-255,000,000","-238,000,000","-238,000,000","-244,000,000","-249,000,000","-245,000,000","-249,000,000","-235,000,000","-241,000,000","-321,000,000","-345,000,000","-356,000,000","-397,000,000","-371,000,000","-381,000,000","-333,000,000","-333,000,000","-308,000,000","-282,000,000","-292,000,000","-275,000,000","-282,000,000","-407,000,000","-367,000,000","-384,000,000","-254,000,000","-194,000,000","-207,000,000","-202,000,000","-187,000,000","-169,000,000","-171,000,000",,"-182,000,000","-203,000,000","-177,000,000",,"-156,000,000","-141,000,000","-144,000,000","-160,000,000","-149,000,000","-149,000,000","-152,687,000","-133,185,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"4,148,000,000","4,130,000,000","4,341,000,000","4,389,000,000","4,224,000,000","4,010,000,000","4,108,000,000","4,120,000,000","4,174,000,000","4,046,000,000","4,308,000,000","4,338,000,000","4,288,000,000","4,225,000,000","4,572,000,000","5,001,000,000","3,612,000,000","3,756,000,000","4,228,000,000","4,581,000,000","4,666,000,000","4,628,000,000","4,702,000,000","4,770,000,000","4,731,000,000","4,603,000,000","4,895,000,000","4,955,000,000","4,973,000,000","4,785,000,000","4,921,000,000","4,762,000,000","5,118,000,000","4,700,000,000","4,469,000,000","4,306,000,000","4,092,000,000","3,804,000,000","3,941,000,000","1,865,000,000","1,851,000,000","1,866,000,000","1,967,000,000","2,021,000,000","2,029,800,000","1,918,503,000","1,877,893,000","1,800,479,000","1,763,169,000","1,638,192,000","1,584,412,000","1,519,751,000","1,422,691,000","1,246,887,000","1,235,037,000","1,158,342,000","1,063,471,000","1,010,448,000","974,253,000","944,913,000","874,765,000","819,745,000","822,391,000","768,869,000","862,944,000","796,559,000","879,785,000","893,641,000","1,042,503,000","1,043,057,000","1,213,949,000","1,232,877,000","1,255,590,000","1,204,263,000","1,393,308,000","1,407,986,000","1,316,584,000","1,111,585,000","1,056,769,000","1,018,757,000","1,306,558,000","1,268,500,000","1,342,400,000","1,330,700,000","1,343,200,000","1,333,100,000","1,435,600,000","1,224,300,000","1,171,900,000","1,094,100,000","1,101,400,000","1,053,500,000","983,600,000","939,000,000","934,600,000","914,100,000","870,100,000","782,200,000","823,100,000","804,400,000","769,200,000","696,300,000","684,500,000","664,100,000",,"621,400,000","678,000,000","650,700,000","663,800,000","562,500,000","639,000,000","629,800,000","585,900,000","596,600,000","610,600,000","577,100,000","577,800,000","570,600,000","556,300,000","548,400,000","521,800,000","509,900,000","583,300,000","575,900,000","560,000,000","700,000,000"
			RawMaterials,"1,949,000,000","1,857,000,000","1,964,000,000","1,995,000,000","1,877,000,000","1,803,000,000","1,885,000,000","1,853,000,000","1,910,000,000","1,846,000,000","1,898,000,000","1,701,000,000","1,633,000,000","1,720,000,000","1,850,000,000","1,874,000,000","2,355,000,000","2,300,000,000","2,642,000,000","2,774,000,000","2,835,000,000","2,666,000,000","2,637,000,000","2,696,000,000","2,590,000,000","2,539,000,000","2,642,000,000","2,695,000,000","2,648,000,000","2,519,000,000","2,597,000,000","2,492,000,000","2,300,000,000","2,066,000,000","1,971,000,000","1,930,000,000","1,757,000,000","1,833,000,000","1,841,000,000","1,665,000,000","1,643,000,000","1,646,000,000","1,734,000,000","1,804,000,000","1,804,800,000","1,673,503,000",,,,"1,521,000,000",,,,"1,186,000,000","1,168,000,000",,"1,022,000,000","976,000,000",,,,"812,000,000","834,000,000","761,000,000",,,"832,000,000",,,"1,010,000,000","1,078,000,000","1,126,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,"542,000,000","515,000,000","606,000,000","576,000,000","549,000,000","519,000,000","541,000,000","525,000,000","556,000,000","503,000,000","537,000,000","570,000,000","597,000,000","610,000,000","600,000,000","640,000,000","155,000,000","178,000,000","201,000,000","225,000,000","240,000,000","273,000,000","296,000,000","314,000,000","310,000,000","261,000,000","296,000,000","352,000,000","383,000,000","349,000,000","363,000,000","384,000,000","368,000,000","364,000,000","355,000,000","346,000,000","335,000,000","249,000,000","280,000,000","84,000,000","75,000,000","74,000,000","78,000,000","76,000,000","99,000,000","136,000,000",,,,"147,000,000",,,,"127,000,000","133,000,000",,"86,000,000","96,000,000",,,,"59,000,000","61,000,000","99,000,000",,,"121,000,000",,,"118,000,000","197,000,000","201,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"1,657,000,000","1,758,000,000","1,771,000,000","1,818,000,000","1,798,000,000","1,688,000,000","1,682,000,000","1,742,000,000","1,708,000,000","1,697,000,000","1,873,000,000","2,067,000,000","2,058,000,000","1,895,000,000","2,122,000,000","2,487,000,000","1,102,000,000","1,278,000,000","1,385,000,000","1,582,000,000","1,591,000,000","1,689,000,000","1,769,000,000","1,760,000,000","1,831,000,000","1,803,000,000","1,957,000,000","1,908,000,000","1,942,000,000","1,917,000,000","1,961,000,000","1,886,000,000","2,450,000,000","2,270,000,000","2,143,000,000","2,030,000,000","2,000,000,000","1,722,000,000","1,820,000,000","116,000,000","133,000,000","146,000,000","155,000,000","141,000,000","126,000,000","109,000,000",,"1,800,479,000",,"145,192,000",,,,"91,000,000","88,000,000",,"90,471,000","65,448,000",,,,"74,000,000","68,000,000","47,000,000",,,"71,000,000",,,"138,000,000","221,000,000","187,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,684,175,000",,,,"37,000",,,,,,,,"391,000","-131,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InventoriesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-175,000,000","-99,763,000",,,"-157,113,000","-154,000,000",,"-135,000,000","-127,000,000",,,,"-125,255,000","-141,000,000","-138,000,000",,,"-144,215,000",,,"-222,943,000","-282,051,000","-281,123,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,"0","391,000,000","391,000,000","208,000,000","208,000,000","150,000,000","168,000,000","156,000,000","144,000,000","287,000,000","235,000,000","301,000,000","288,000,000","278,000,000","294,000,000","306,000,000","343,000,000","345,000,000","458,000,000","487,000,000","456,000,000","148,000,000","190,000,000","14,000,000","51,000,000","0","148,000,000","154,000,000","154,000,000","158,000,000","162,000,000","178,536,000","184,063,000","186,908,000","180,592,000","172,316,000","182,562,000","179,054,000","172,237,000","171,502,000","162,884,000","192,544,000","175,800,000","181,745,000","233,167,000","180,488,000","271,566,000","251,568,000","239,111,000","284,689,000","402,854,000","355,368,000","315,350,000","346,986,000","362,594,000","428,552,000","435,887,000","326,040,000","310,626,000","332,647,000","321,767,000","379,957,000","349,053,000","287,184,000","259,184,000","246,635,000","257,642,000","289,636,000","259,300,000","295,700,000","273,680,000","267,900,000","296,000,000","234,100,000","174,700,000","168,500,000","175,900,000",,"214,900,000","217,500,000","222,500,000","196,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,"0","391,000,000","391,000,000","208,000,000","208,000,000","150,000,000","168,000,000","156,000,000","144,000,000","287,000,000","235,000,000","301,000,000","288,000,000","278,000,000","294,000,000","306,000,000","343,000,000","345,000,000","458,000,000","487,000,000","456,000,000","148,000,000","190,000,000","14,000,000","51,000,000",,"148,000,000","154,000,000","154,000,000","158,000,000","162,000,000","178,536,000","184,063,000","186,908,000","180,592,000","172,316,000","182,562,000","179,054,000","172,237,000","171,502,000","162,884,000","192,544,000","175,800,000","181,745,000","233,167,000","180,488,000","271,566,000","251,568,000","239,111,000","284,689,000","402,854,000","355,368,000","315,350,000","346,986,000","362,594,000","428,552,000","435,887,000","326,040,000","310,626,000","332,647,000","321,767,000","379,957,000","349,053,000","287,184,000","259,184,000","246,635,000","257,642,000","289,636,000","259,300,000","295,700,000","273,680,000","267,900,000","296,000,000","234,100,000","174,700,000","168,500,000","175,900,000",,"214,900,000","217,500,000","222,500,000","196,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"1,288,000,000","1,486,000,000","1,186,000,000","1,125,000,000","1,223,000,000","1,063,000,000","1,112,000,000","1,125,000,000","1,244,000,000","1,278,000,000","1,218,000,000","1,792,000,000","1,606,000,000","1,058,000,000","1,141,000,000","1,237,000,000","1,066,000,000","1,134,000,000","1,177,000,000","1,269,000,000","1,326,000,000","1,250,000,000","1,373,000,000","1,459,000,000","1,563,000,000","1,467,000,000","1,428,000,000","1,348,000,000","1,385,000,000","1,403,000,000","1,475,000,000","1,525,000,000","1,201,000,000","1,056,000,000","1,086,000,000","1,157,000,000","1,051,000,000","975,000,000","1,280,000,000","905,000,000","885,000,000","926,000,000","941,000,000","954,000,000","887,300,000","841,580,000","817,766,000","804,823,000","775,581,000","704,482,000","632,532,000","574,808,000","598,077,000","535,018,000","519,973,000","479,746,000","448,040,000","430,814,000","354,537,000","372,583,000","352,633,000","339,826,000","328,366,000","576,470,000","1,149,510,000","3,579,814,000","526,900,000","748,684,000","506,058,000","481,074,000","635,863,000","654,584,000","582,573,000","532,709,000","595,919,000","476,165,000","386,239,000","313,444,000","290,297,000","273,079,000","273,538,000","258,600,000","284,400,000","281,674,000","225,100,000","251,300,000","293,900,000","229,000,000","238,000,000","220,200,000","1,774,000,000","213,800,000","256,700,000","262,100,000","216,200,000","1,280,100,000","1,144,100,000","1,229,100,000","1,205,100,000","1,357,000,000","1,236,600,000","1,308,800,000","1,432,200,000","1,287,100,000","3,518,600,000","1,245,200,000","1,540,500,000","1,580,800,000","1,446,700,000","1,415,000,000","1,525,100,000","1,438,900,000","1,444,900,000","1,527,000,000","1,387,000,000","1,238,200,000","1,185,200,000","1,368,900,000","1,369,900,000","1,323,200,000","1,268,900,000","1,363,400,000","60,600,000","174,700,000","66,900,000","77,100,000"
