name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
TotalRevenue,"4,877,100,000","1,220,300,000","1,244,500,000","1,240,100,000","1,172,200,000","1,186,600,000","1,242,800,000","1,285,500,000","1,176,900,000","1,093,300,000","1,085,400,000","1,146,900,000","1,102,100,000","1,045,000,000","1,122,000,000","1,201,800,000","1,119,600,000","1,098,400,000","1,102,900,000","1,162,300,000","1,105,400,000","1,133,587,000","1,256,164,000","1,306,200,000","1,262,649,000","1,268,879,000","1,213,543,000","1,219,239,000","1,123,647,000","1,059,320,000","1,016,887,000","1,031,948,000","964,175,000","884,569,000","895,218,000","879,654,000","795,096,000","738,356,000","688,431,000","688,806,000","618,633,000","630,871,000","600,218,000","571,805,000","521,683,000","512,877,000","602,199,000","639,700,000","604,437,000","578,097,000","529,543,000","530,100,000","508,099,000","487,385,000","476,374,000","465,987,000","455,788,000","409,026,000","400,997,000","384,667,000","372,060,000","341,642,000","319,809,000","324,160,000","324,052,000","300,125,000","290,391,000","288,878,000","280,039,000"
	OperatingRevenue,"8,081,600,000","4,424,800,000","1,244,500,000","1,240,100,000","1,172,200,000","4,249,100,000","1,242,800,000","1,285,500,000","1,932,500,000","3,951,500,000","1,085,400,000","1,146,900,000","1,102,100,000","1,045,000,000","1,122,000,000","1,201,800,000","1,119,600,000","1,098,400,000","1,102,900,000","1,162,300,000","1,105,400,000","1,133,587,000","1,256,164,000","1,306,200,000","1,262,649,000","1,268,879,000","1,213,543,000","1,219,239,000","1,123,647,000","1,059,320,000","1,016,887,000","1,031,948,000","964,175,000","884,569,000","895,218,000","879,654,000","795,096,000","738,356,000","688,431,000","688,806,000","618,633,000","630,871,000","600,218,000","571,805,000","521,683,000","512,877,000","602,199,000","639,700,000","604,437,000","578,097,000","529,543,000","530,100,000","508,099,000","487,385,000","476,374,000","465,987,000","455,788,000","409,026,000","400,997,000","384,667,000","372,060,000","341,642,000","319,809,000","324,160,000","324,052,000","300,125,000","290,391,000","288,878,000","280,039,000"
CostOfRevenue,"958,000,000","229,800,000","243,400,000","243,200,000","241,600,000","225,900,000","218,100,000","235,400,000","239,900,000","209,800,000","215,400,000","218,800,000","204,600,000","196,100,000","209,100,000","236,300,000","213,100,000","204,400,000","206,900,000","229,300,000","215,400,000","219,573,000","254,941,000","257,221,000","251,165,000","251,807,000","238,415,000","247,224,000","225,977,000","211,105,000","201,597,000","203,737,000","196,144,000","170,960,000","175,308,000","171,023,000","162,793,000","148,513,000","133,265,000","136,561,000","140,472,000","136,515,000","131,777,000","122,442,000","102,400,000","96,061,000","116,620,000","128,049,000","117,666,000","113,851,000","105,886,000","111,361,000","107,283,000","99,173,000","97,159,000","92,640,000","91,366,000","83,154,000","79,482,000","77,373,000","75,737,000","71,089,000","68,961,000","66,245,000","63,618,000","61,436,000","58,987,000","58,401,000","56,961,000"
GrossProfit,"3,919,100,000","990,500,000","1,001,100,000","996,900,000","930,600,000","960,700,000","1,024,700,000","1,050,100,000","937,000,000","883,500,000","870,000,000","928,100,000","897,500,000","848,900,000","912,900,000","965,500,000","906,500,000","894,000,000","896,000,000","933,000,000","890,000,000","914,014,000","1,001,223,000","1,048,979,000","1,011,484,000","1,017,072,000","975,128,000","972,015,000","897,670,000","848,215,000","815,290,000","828,211,000","768,031,000","713,609,000","719,910,000","708,631,000","632,303,000","589,843,000","555,166,000","552,245,000","478,161,000","494,356,000","468,441,000","449,363,000","419,283,000","416,816,000","485,579,000","511,651,000","486,771,000","464,246,000","423,657,000","418,739,000","400,816,000","388,212,000","379,215,000","373,347,000","364,422,000","325,872,000","321,515,000","307,294,000","296,323,000","270,553,000","250,848,000","257,915,000","260,434,000","238,689,000","231,404,000","230,477,000","223,078,000"
OperatingExpense,"3,351,000,000","882,100,000","857,500,000","843,800,000","767,600,000","812,500,000","837,400,000","858,300,000","781,200,000","734,400,000","750,700,000","723,200,000","753,700,000","690,700,000","761,400,000","985,400,000","738,200,000","751,400,000","734,400,000","789,200,000","754,400,000","752,047,000","973,581,000","852,691,000","883,881,000","835,213,000","782,988,000","779,658,000","728,749,000","1,671,397,000","324,200,000","306,310,000","296,393,000","286,151,000","277,721,000","266,225,000","244,526,000","-416,648,000","454,211,000","435,890,000","414,202,000","410,271,000","390,607,000","377,544,000","356,990,000","355,948,000","397,084,000","418,413,000","397,120,000","378,585,000","345,361,000","340,666,000","329,688,000","324,948,000","314,728,000","308,232,000","300,342,000","271,628,000","260,202,000","254,906,000","245,197,000","242,854,000","214,750,000","219,731,000","223,696,000","226,461,000","216,060,000","190,205,000","183,886,000"
	SellingGeneralAndAdministration,"1,940,300,000","527,800,000","500,100,000","477,000,000","435,400,000","485,500,000","499,400,000","510,200,000","460,100,000","431,600,000","445,200,000","443,200,000","438,600,000","421,700,000","441,300,000","676,800,000","426,300,000","446,400,000","429,700,000","470,500,000","431,400,000","417,399,000","609,722,000","461,917,000","502,062,000","454,478,000","409,747,000","400,107,000","364,720,000","332,764,000","324,200,000","306,310,000","296,393,000","286,151,000","277,721,000","266,225,000","244,526,000","-416,648,000","454,211,000","435,890,000","414,202,000","410,271,000","390,607,000","377,544,000","356,990,000","355,948,000","397,084,000","418,413,000","397,120,000","378,585,000","345,361,000","340,666,000","329,688,000","324,948,000","314,728,000","308,232,000","300,342,000","271,628,000","260,202,000","254,906,000","245,197,000","242,854,000","214,750,000","219,731,000","223,696,000","226,461,000","216,060,000","190,205,000","183,886,000"
	OtherOperatingExpenses,"1,410,700,000","354,300,000","357,400,000","366,800,000","332,200,000","327,000,000","338,000,000","348,100,000","321,100,000","302,800,000","305,500,000","280,000,000","315,100,000","269,000,000","320,100,000","308,600,000","311,900,000","305,000,000","304,700,000","318,700,000","323,000,000","334,648,000","363,859,000","390,774,000","381,819,000","380,735,000","373,241,000","379,551,000","364,029,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"568,100,000","108,400,000","143,600,000","153,100,000","163,000,000","148,200,000","187,300,000","191,800,000","155,800,000","149,100,000","119,300,000","204,900,000","143,800,000","158,200,000","151,500,000","-19,900,000","168,300,000","142,600,000","161,600,000","143,800,000","135,600,000","161,967,000","27,642,000","196,288,000","127,603,000","181,859,000","192,140,000","192,357,000","168,921,000","-823,182,000","491,090,000","521,901,000","471,638,000","427,458,000","442,189,000","442,406,000","387,777,000","1,006,491,000","100,955,000","116,355,000","63,959,000","84,085,000","77,834,000","71,819,000","62,293,000","60,868,000","88,495,000","93,238,000","89,651,000","85,661,000","78,296,000","78,073,000","71,128,000","63,264,000","64,487,000","65,115,000","64,080,000","54,244,000","61,313,000","52,388,000","51,126,000","27,699,000","36,098,000","38,184,000","36,738,000","12,228,000","15,344,000","40,272,000","39,192,000"
NetNonOperatingInterestIncomeExpense,"-132,400,000","-28,400,000","-31,600,000","-36,300,000","-36,100,000","-37,500,000","-39,900,000","-44,300,000","-39,900,000","-39,800,000","-38,400,000","-37,900,000","-30,200,000","-23,300,000","-22,100,000","-23,100,000","-24,900,000","-25,600,000","-24,100,000","-23,700,000","-21,500,000","-23,000,000","-19,900,000","-21,400,000","-15,000,000","-2,860,000","-4,700,000","-5,559,000","-5,373,000","-2,453,000","-3,546,000","-3,200,000","-1,373,000","1,357,000","-345,000","-855,000","-2,648,000","-1,126,000","-2,192,000","-2,100,000","53,000","-1,003,000","-1,000,000","-1,300,000","-1,712,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"20,600,000","3,100,000","5,100,000","6,100,000",,"5,800,000","4,100,000","4,800,000","4,700,000","3,600,000","4,600,000","4,000,000","2,300,000","1,400,000","1,900,000","1,500,000","1,100,000","1,200,000","1,400,000","1,100,000","1,900,000","2,700,000","4,100,000","2,800,000","2,800,000","2,592,000","2,000,000",,"1,427,000","1,895,000","1,500,000","1,300,000",,"1,673,000","2,800,000","2,245,000","3,300,000","847,000","500,000","400,000","2,453,000",,"600,000","1,600,000","1,600,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"153,000,000","31,500,000","36,700,000","42,400,000","36,100,000","43,300,000","44,000,000","49,100,000","44,600,000","43,400,000","43,000,000","41,900,000","32,500,000","24,700,000","24,000,000","24,600,000","26,000,000","26,800,000","25,500,000","24,800,000","23,400,000","25,700,000","24,000,000","24,200,000","17,800,000","5,452,000","6,700,000","5,559,000","6,800,000","4,348,000","5,046,000","4,500,000","1,373,000","316,000","3,145,000","3,100,000","5,948,000","1,973,000","2,692,000","2,500,000","2,400,000","-2,697,000","1,600,000","2,900,000","3,312,000",,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"15,700,000","0","1,300,000","5,900,000","8,500,000","2,700,000","-30,900,000","-4,700,000","-24,400,000","400,000",,,,,,,,"0",,,"-2,300,000","-8,000","-9,831,000",,"-3,161,000",,,,,,"-330,247,000","-335,164,000","-317,533,000","-293,109,000","-290,842,000","-289,232,000","-264,377,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-330,247,000","-335,164,000","-317,533,000","-293,109,000","-290,842,000","-289,232,000","-264,377,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"15,700,000","0","1,300,000","5,900,000","8,500,000","2,700,000","-30,900,000","-4,700,000","-24,400,000","400,000",,,,,,,,"0",,,"-2,300,000","-8,000","-9,831,000",,"-3,161,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"451,400,000","80,000,000","113,300,000","122,700,000","135,400,000","113,400,000","116,500,000","142,800,000","91,500,000","109,700,000","80,900,000","167,000,000","113,600,000","134,900,000","129,400,000","-43,000,000","143,400,000","117,000,000","137,500,000","120,100,000","111,800,000","138,990,000","-2,053,000","174,882,000","109,481,000","178,957,000","187,414,000","186,798,000","163,548,000","157,340,000","157,297,000","183,537,000","152,732,000","135,706,000","151,002,000","152,319,000","120,752,000","105,117,000","98,763,000","114,209,000","62,006,000","83,069,000","76,797,000","70,481,000","60,581,000","58,010,000","85,088,000","90,071,000","85,860,000","82,306,000","75,556,000","75,799,000","68,924,000","60,562,000","38,618,000","60,160,000","58,065,000","47,918,000","53,363,000","44,942,000","28,924,000","-40,373,000","22,494,000","23,928,000","9,365,000","2,366,000","3,940,000","30,017,000","29,245,000"
