name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"3,433,300,000","3,128,600,000","3,155,200,000","3,195,100,000","3,166,000,000","2,824,100,000","2,846,500,000","2,836,100,000","2,884,700,000","2,780,900,000","2,737,200,000","2,627,300,000","2,575,500,000","2,400,600,000","2,390,600,000","2,369,600,000","2,321,600,000","2,187,400,000","2,240,700,000","2,200,100,000","2,087,200,000","2,036,400,000","1,959,800,000","1,947,400,000","1,904,700,000","1,836,100,000","1,761,400,000","1,695,000,000","1,638,000,000","1,603,100,000","1,566,900,000","1,517,300,000","1,466,900,000","1,376,100,000","1,321,100,000","1,319,400,000","1,276,900,000","1,258,100,000","1,251,000,000","1,234,200,000","1,206,100,000","1,246,600,000","1,224,900,000","1,214,800,000","1,199,800,000","1,210,300,000","1,188,700,000","1,217,800,000","1,163,700,000","1,060,500,000","1,020,300,000","1,073,400,000","1,045,700,000","1,012,900,000","975,700,000","951,500,000","939,200,000","879,000,000","742,700,000","753,300,000","766,300,000","776,800,000","750,600,000","744,000,000","723,100,000","722,700,000","715,800,000","767,700,000","746,100,000","708,100,000","736,700,000","766,700,000","762,500,000","789,400,000","1,219,000,000","1,223,200,000","1,225,500,000","1,211,400,000","1,216,400,000","1,230,300,000","1,290,000,000","1,261,900,000","1,311,800,000","1,369,800,000","1,397,000,000","1,404,200,000","1,394,500,000","844,600,000","821,900,000","811,600,000","807,500,000","743,400,000","704,900,000","701,700,000","683,200,000","674,800,000","485,700,000","230,600,000","225,100,000","233,200,000","231,600,000","218,900,000","242,800,000","277,600,000","268,700,000","268,400,000","296,700,000","324,200,000","327,600,000","309,500,000","332,600,000","343,000,000","346,600,000","362,100,000","352,900,000","342,200,000","312,300,000","263,200,000","224,900,000","172,400,000"
	CurrentAssets,"1,040,300,000","704,900,000","771,600,000","798,100,000","782,300,000","675,800,000","699,000,000","707,800,000","715,900,000","656,700,000","707,500,000","648,400,000","686,800,000","607,000,000","641,100,000","684,600,000","691,900,000","633,800,000","727,500,000","752,000,000","711,200,000","681,700,000","668,500,000","693,800,000","701,700,000","656,400,000","653,100,000","626,300,000","599,100,000","575,700,000","584,200,000","591,600,000","584,800,000","524,300,000","530,000,000","522,400,000","503,500,000","497,700,000","499,800,000","488,700,000","437,300,000","461,100,000","449,200,000","455,900,000","469,400,000","480,700,000","499,200,000","520,100,000","493,700,000","435,000,000","434,500,000","466,500,000","454,800,000","425,800,000","402,100,000","400,600,000","409,700,000","370,300,000","350,300,000","363,200,000","368,900,000","373,300,000","360,500,000","351,900,000","317,700,000","304,600,000","296,400,000","316,600,000","290,300,000","248,300,000","276,500,000","285,400,000","278,200,000","288,200,000","349,000,000","352,700,000","348,300,000","326,000,000","342,100,000","348,800,000","359,700,000","327,800,000","393,600,000","426,000,000","435,800,000","439,000,000","459,700,000","411,200,000","397,100,000","387,100,000","387,700,000","363,500,000","328,100,000","316,900,000","315,000,000","315,300,000","249,500,000","128,100,000","126,100,000","134,300,000","132,100,000","122,200,000","130,700,000","146,700,000","136,500,000","132,300,000","139,600,000","159,900,000","162,700,000","150,600,000","176,200,000","189,100,000","196,100,000","207,400,000","202,000,000","196,300,000","175,200,000","153,600,000","141,200,000","100,500,000"
		CashCashEquivalentsAndShortTermInvestments,"329,300,000","64,400,000","47,000,000","55,400,000","43,700,000","32,700,000","47,200,000","39,100,000","49,800,000","60,100,000","119,100,000","45,500,000","82,100,000","35,200,000","45,700,000","38,900,000","24,200,000","51,800,000","43,200,000","35,300,000","22,700,000","70,900,000","37,700,000","43,800,000","50,000,000","65,500,000","59,700,000","56,700,000","18,300,000","32,600,000","43,200,000","32,600,000","48,700,000","49,500,000","48,400,000","55,900,000","50,600,000","117,200,000","78,500,000","84,000,000","65,700,000","110,100,000","94,700,000","72,600,000","27,000,000","50,900,000","48,700,000","19,300,000","26,400,000","28,100,000","31,400,000","36,000,000","33,500,000","25,700,000","13,000,000","8,800,000","23,900,000","21,000,000","12,300,000","18,500,000","26,200,000","57,200,000","51,500,000","45,100,000","24,000,000","41,700,000","28,900,000","29,900,000","13,100,000","8,200,000","16,200,000","3,900,000","3,700,000","11,600,000","17,000,000","6,300,000","7,200,000","5,100,000","13,800,000","7,000,000","4,800,000","200,000","7,800,000","5,700,000","2,500,000","7,500,000","3,900,000","7,000,000","3,200,000","9,000,000","3,100,000","3,300,000","400,000","8,000,000","4,200,000","8,400,000","4,700,000","3,800,000",,,,"900,000","1,100,000","900,000","4,500,000","12,900,000","9,300,000","8,700,000","9,200,000","2,400,000","2,200,000","5,400,000","9,800,000","1,900,000","4,700,000","10,000,000","11,100,000","15,200,000","35,800,000","12,800,000"
			CashAndCashEquivalents,"329,300,000","64,400,000","47,000,000","55,400,000","43,700,000","32,700,000","47,200,000","39,100,000","49,800,000","60,100,000","119,100,000","45,500,000","82,100,000","35,200,000","45,700,000","38,900,000","24,200,000","51,800,000","43,200,000","35,300,000","22,700,000","70,900,000","37,700,000","43,800,000","50,000,000","65,500,000","59,700,000","56,700,000","18,300,000","32,600,000","43,200,000","32,600,000","48,700,000","49,500,000","48,400,000","55,900,000","50,600,000","117,200,000","78,500,000","84,000,000","65,700,000","110,100,000","94,700,000","72,600,000","27,000,000","50,900,000","48,700,000","19,300,000","26,400,000","28,100,000","31,400,000","36,000,000","33,500,000","25,700,000","13,000,000","8,800,000","23,900,000","21,000,000","12,300,000","18,500,000","26,200,000","57,200,000","51,500,000","45,100,000","24,000,000","41,700,000","28,900,000","29,900,000","13,100,000","8,200,000","16,200,000","3,900,000","3,700,000","11,600,000","17,000,000","6,300,000","7,200,000","5,100,000","13,800,000","7,000,000","4,800,000","200,000","7,800,000","5,700,000","2,500,000","7,500,000","3,900,000","7,000,000","3,200,000","9,000,000","3,100,000","3,300,000","400,000","8,000,000","4,200,000","8,400,000","4,700,000","3,800,000",,,,"900,000","1,100,000","900,000","4,500,000","12,900,000","9,300,000","8,700,000","9,200,000","2,400,000","2,200,000","5,400,000","9,800,000","1,900,000","4,700,000","10,000,000","11,100,000","15,200,000","35,800,000","12,800,000"
		Receivables,"322,600,000","280,300,000","345,300,000","373,000,000","378,000,000","311,400,000","314,000,000","324,900,000","330,800,000","248,700,000","245,000,000","253,300,000","267,400,000","245,600,000","254,400,000","290,300,000","310,100,000","234,000,000","257,600,000","283,700,000","289,800,000","233,500,000","255,600,000","281,500,000","280,900,000","232,400,000","236,200,000","246,100,000","269,100,000","229,000,000","242,200,000","250,400,000","251,000,000","199,300,000","208,500,000","207,800,000","210,000,000","173,900,000","182,900,000","195,100,000","168,600,000","158,400,000","153,800,000","173,500,000","217,800,000","189,400,000","208,700,000","245,400,000","237,700,000","192,800,000","185,000,000","192,000,000","202,300,000","181,500,000","187,800,000","196,100,000","194,300,000","155,900,000","161,800,000","176,400,000","169,800,000","153,500,000","146,100,000","156,600,000","144,800,000","126,200,000","132,400,000","146,300,000","141,000,000","117,300,000","126,700,000","138,700,000","138,200,000","140,500,000","155,000,000","166,600,000","163,900,000","150,300,000","160,600,000","171,400,000","177,100,000","158,600,000","172,500,000","191,500,000","199,900,000","188,400,000","206,600,000","197,400,000","189,100,000","181,200,000","183,100,000","196,400,000","166,400,000","151,300,000","151,400,000","153,500,000","132,100,000","65,900,000","66,200,000","75,800,000","76,400,000","67,300,000","64,900,000","84,900,000","76,100,000","67,600,000","72,900,000","81,600,000","82,900,000","78,800,000","91,000,000","97,400,000","99,400,000","98,300,000","93,900,000","101,200,000","88,500,000","73,000,000","52,700,000","43,500,000"
			AccountsReceivable,"266,700,000","227,600,000","288,900,000","313,300,000","324,300,000","260,900,000","270,300,000","287,200,000","295,600,000","248,700,000","245,000,000","253,300,000","267,400,000","245,600,000","254,400,000","290,300,000","310,100,000","234,000,000","257,600,000","283,700,000","289,800,000","233,500,000","255,600,000","281,500,000","280,900,000","232,400,000","236,200,000","246,100,000","269,100,000","229,000,000","242,200,000","250,400,000","251,000,000","199,300,000","208,500,000","207,800,000","210,000,000","173,900,000","182,900,000","195,100,000","168,600,000","158,400,000","153,800,000","173,500,000","217,800,000","189,400,000","208,700,000","245,400,000","237,700,000","192,800,000","185,000,000","192,000,000","202,300,000","181,500,000","187,800,000","196,100,000","194,300,000","155,900,000","161,800,000","176,400,000","169,800,000","153,500,000","146,100,000","156,600,000","144,800,000","126,200,000","132,400,000","146,300,000","141,000,000","117,300,000","126,700,000","138,700,000","138,200,000","140,500,000","155,000,000","166,600,000","163,900,000","150,300,000","160,600,000","171,400,000","177,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"55,900,000","52,700,000","56,400,000","59,700,000","53,700,000","50,500,000","43,700,000","37,700,000","35,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"354,400,000","333,100,000","352,200,000","339,300,000","334,500,000","297,800,000","308,700,000","305,400,000","300,800,000","314,000,000","313,400,000","313,000,000","303,600,000","291,000,000","315,100,000","331,500,000","333,100,000","307,200,000","326,200,000","326,800,000","314,400,000","290,100,000","300,700,000","288,400,000","283,900,000","265,300,000","260,300,000","251,700,000","245,900,000","232,800,000","235,700,000","242,200,000","232,000,000","215,700,000","213,300,000","207,900,000","198,700,000","169,900,000","197,500,000","175,400,000","167,000,000","157,200,000","158,000,000","171,400,000","185,300,000","195,300,000","200,600,000","207,700,000","202,400,000","179,400,000","179,000,000","166,700,000","189,500,000","171,500,000","166,600,000","160,600,000","156,300,000","150,400,000","160,500,000","154,600,000","160,100,000","144,200,000","144,900,000","134,200,000","130,400,000","120,500,000","121,200,000","126,200,000","126,600,000","113,600,000","127,100,000","133,200,000","132,000,000","131,700,000","164,000,000","163,700,000","162,800,000","155,400,000","152,400,000","155,100,000","164,000,000","153,700,000","182,800,000","201,000,000","204,700,000","213,200,000","224,700,000","183,300,000","177,600,000","165,300,000","162,300,000","153,100,000","155,100,000","145,900,000","155,600,000","148,200,000","111,100,000","55,500,000","55,200,000","53,200,000","51,700,000","47,400,000","48,700,000","55,900,000","51,800,000","47,300,000","48,700,000","57,400,000","58,500,000","56,200,000","68,700,000","71,000,000","72,000,000","71,300,000","72,200,000","72,900,000","69,400,000","60,300,000","48,300,000","40,500,000"
			RawMaterials,"175,900,000","154,900,000","182,600,000","170,300,000","170,300,000","131,400,000","143,700,000","137,000,000","133,200,000","126,700,000","133,600,000","130,900,000","125,800,000","120,600,000","129,200,000","144,800,000","142,700,000","120,700,000","137,500,000","138,000,000","133,000,000","111,100,000","118,100,000","117,300,000","116,900,000","103,400,000","100,000,000","99,400,000","99,300,000","95,000,000","106,900,000","106,200,000","102,400,000","86,400,000","89,400,000","83,300,000","83,200,000","71,600,000","81,900,000","74,400,000","70,700,000","72,700,000","75,400,000","75,800,000","81,700,000","89,200,000","93,900,000","92,800,000","95,400,000","86,600,000","79,300,000","73,700,000","74,200,000","69,300,000","67,700,000","64,600,000","62,900,000","64,300,000","66,900,000","58,300,000","64,000,000","54,800,000","56,700,000","51,900,000","48,600,000","42,900,000","47,000,000","46,700,000","49,700,000","40,700,000","58,700,000","59,800,000","59,700,000","59,100,000",,"68,200,000","69,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,"42,500,000","40,900,000","39,700,000","42,400,000","40,800,000","43,600,000","50,600,000","49,600,000","44,800,000","52,100,000","46,800,000","48,900,000","50,800,000","53,700,000","49,300,000","56,200,000","50,500,000","54,700,000","46,600,000","50,500,000","48,200,000","48,500,000","53,800,000","52,900,000","61,900,000","62,200,000","60,100,000","53,600,000","53,600,000","51,200,000","53,300,000","51,500,000","49,600,000","48,400,000","58,300,000","52,300,000","47,600,000","40,700,000","44,500,000","42,500,000","39,900,000","36,800,000","37,200,000","39,400,000","38,200,000","52,000,000","58,300,000","62,800,000","58,900,000","45,400,000","44,400,000","41,500,000","52,100,000","46,500,000","41,800,000","37,600,000","35,400,000","32,000,000","35,400,000","36,200,000","36,700,000","36,500,000","36,200,000","36,400,000","40,700,000","35,900,000","35,800,000","37,700,000","39,200,000","37,600,000","34,000,000","36,200,000","36,500,000","35,200,000",,"45,300,000","46,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"136,000,000","137,300,000","129,900,000","126,600,000","123,400,000","122,800,000","114,400,000","118,800,000","122,800,000","135,200,000","133,000,000","133,200,000","127,000,000","116,700,000","136,600,000","130,500,000","139,900,000","131,800,000","142,100,000","138,300,000","133,200,000","130,500,000","128,800,000","118,200,000","105,100,000","99,700,000","100,200,000","98,700,000","93,000,000","86,600,000","75,500,000","84,500,000","80,000,000","80,900,000","89,000,000","96,000,000","91,700,000","80,400,000","94,000,000","81,200,000","79,600,000","71,600,000","69,200,000","78,800,000","89,100,000","77,300,000","68,700,000","71,500,000","69,100,000","66,900,000","55,300,000","51,500,000","63,200,000","55,700,000","57,100,000","58,400,000","58,000,000","54,100,000","58,200,000","60,100,000","59,400,000","52,900,000","52,000,000","45,900,000","41,100,000","41,700,000","38,400,000","41,800,000","37,700,000","35,300,000","34,400,000","37,200,000","35,800,000","37,400,000",,"50,200,000","47,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InventoriesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-23,400,000","-23,700,000","-23,800,000","-22,800,000","-22,900,000","-22,700,000","-23,200,000","-23,900,000","-23,800,000","-22,600,000","-23,700,000","-23,200,000","-20,300,000","-19,400,000","-21,000,000","-19,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"34,000,000","27,100,000","27,100,000","30,400,000","26,100,000","33,900,000","29,100,000","38,400,000","34,500,000","33,900,000","30,000,000","36,600,000","33,700,000","35,200,000","25,900,000","23,900,000","24,500,000","40,800,000","100,500,000","106,200,000","84,300,000","87,200,000","74,500,000","80,100,000","86,900,000","93,200,000",,,"65,800,000","81,300,000",,,"53,100,000","59,800,000","59,800,000","50,800,000","44,200,000","36,700,000","40,900,000","34,200,000","36,000,000","35,400,000","42,700,000","38,400,000","39,300,000","45,100,000","41,200,000","47,700,000","27,200,000","34,700,000","39,100,000","32,100,000","29,500,000","36,600,000","34,700,000","35,100,000","35,200,000","43,000,000","15,700,000","13,700,000","12,800,000","18,400,000","18,000,000","16,000,000","18,500,000","16,200,000","13,900,000","14,200,000","9,600,000","9,200,000","6,500,000","9,600,000","4,300,000","4,400,000",,"7,500,000","6,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"96,900,000","71,800,000","65,800,000",,"63,100,000","66,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,600,000","7,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"96,900,000","71,800,000","65,800,000",,"63,100,000","66,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,600,000","7,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,700,000",,"10,500,000",,,,,,,,,,,,,,,,,,,,,"13,000,000",,,"15,200,000","15,300,000","15,300,000","13,800,000","15,300,000","30,500,000","27,800,000","28,700,000","29,900,000","24,500,000","23,500,000","27,200,000","31,600,000","39,200,000","10,700,000","6,200,000","11,700,000","3,800,000","5,200,000","1,600,000","2,900,000","4,700,000","5,300,000","4,000,000","6,600,000","16,000,000","5,000,000","4,100,000","4,500,000","8,700,000","12,200,000","12,100,000","13,200,000","14,300,000","15,300,000","14,900,000","35,900,000","31,200,000","12,200,000","6,200,000","5,100,000","4,400,000","3,700,000"
	TotalNonCurrentAssets,"2,393,000,000","2,423,700,000","2,383,600,000","2,397,000,000","2,383,700,000","2,148,300,000","2,147,500,000","2,128,300,000","2,168,800,000","2,124,200,000","2,029,700,000","1,978,900,000","1,888,700,000","1,793,600,000","1,749,500,000","1,685,000,000","1,629,700,000","1,553,600,000","1,513,200,000","1,448,100,000","1,376,000,000","1,354,700,000","1,291,300,000","1,253,600,000","1,203,000,000","1,179,700,000","1,108,300,000","1,068,700,000","1,038,900,000","1,027,400,000","982,700,000","925,700,000","882,100,000","851,800,000","791,100,000","797,000,000","773,400,000","760,400,000","751,200,000","745,500,000","768,800,000","785,500,000","775,700,000","758,900,000","730,400,000","729,600,000","689,500,000","697,700,000","670,000,000","625,500,000","585,800,000","606,900,000","590,900,000","587,100,000","573,600,000","550,900,000","529,500,000","508,700,000","392,400,000","390,100,000","397,400,000","403,500,000","390,100,000","392,100,000","405,400,000","418,100,000","419,400,000","451,100,000","455,800,000","459,800,000","460,200,000","481,300,000","484,300,000","501,200,000","870,000,000","870,500,000","877,200,000","885,400,000","874,300,000","881,500,000","930,300,000","934,100,000","918,200,000","943,800,000","961,200,000","965,200,000","934,800,000","433,400,000","424,800,000","424,500,000","419,800,000","379,900,000","376,800,000","384,800,000","368,200,000","359,500,000","236,200,000","102,500,000","99,000,000","98,900,000","99,500,000","96,700,000","112,100,000","130,900,000","132,200,000","136,100,000","157,100,000","164,300,000","164,900,000","158,900,000","156,400,000","153,900,000","150,500,000","154,700,000","150,900,000","145,900,000","137,100,000","109,600,000","83,700,000","71,900,000"
		NetPPE,"1,915,500,000","1,942,800,000","1,923,700,000","1,921,900,000","1,902,700,000","1,876,500,000","1,894,200,000","1,879,600,000","1,902,100,000","1,866,300,000","1,825,500,000","1,785,500,000","1,700,700,000","1,625,600,000","1,589,700,000","1,522,900,000","1,491,700,000","1,425,600,000","1,393,200,000","1,327,700,000","1,261,200,000","1,238,200,000","1,177,800,000","1,139,900,000","1,091,300,000","1,067,400,000","995,300,000","960,800,000","930,900,000","914,400,000","858,200,000","808,500,000","760,300,000","722,100,000","664,000,000","637,400,000","618,800,000","598,300,000","579,900,000","568,500,000","586,600,000","602,100,000","597,300,000","584,700,000","562,600,000","552,300,000","522,600,000","517,600,000","486,600,000","443,100,000","399,800,000","378,800,000","376,800,000","370,400,000","340,600,000","316,200,000","297,400,000","285,200,000","267,700,000","264,100,000","273,000,000","286,600,000","272,000,000","273,300,000","282,100,000","293,900,000","291,900,000","298,600,000","302,200,000","309,400,000","309,900,000","319,400,000","317,900,000","329,200,000","352,000,000","348,800,000","352,600,000","359,700,000","351,500,000","357,800,000","381,700,000","392,100,000","398,300,000","410,100,000","421,200,000","432,600,000","421,600,000","340,800,000","332,300,000","331,500,000","323,600,000","321,800,000","319,200,000","326,800,000","309,400,000","298,900,000","192,200,000","86,000,000","83,500,000","84,800,000","85,700,000","83,100,000","91,300,000","109,500,000","110,900,000","114,700,000","125,800,000","130,200,000","135,400,000","138,300,000","139,900,000","137,300,000","134,400,000","139,000,000","142,600,000","139,300,000","131,400,000","104,000,000","79,700,000","69,300,000"
			GrossPPE,"3,071,500,000","3,075,100,000","3,014,500,000","3,005,300,000","2,894,500,000","2,839,900,000","2,839,800,000","2,800,100,000","2,815,100,000","2,743,900,000","2,662,300,000","2,593,100,000","2,476,400,000","2,378,400,000","2,341,200,000","2,240,600,000","2,197,400,000","2,099,400,000","2,056,000,000","1,974,500,000","1,891,900,000","1,868,700,000","1,808,300,000","1,767,100,000","1,701,800,000","1,661,200,000","1,574,900,000","1,521,000,000","1,480,000,000","1,459,200,000","1,391,000,000","1,324,700,000","1,271,600,000","1,223,500,000","1,170,300,000","1,139,800,000","1,106,000,000","1,063,900,000","1,048,100,000","1,011,100,000","1,028,300,000","1,045,100,000","1,053,800,000","1,025,800,000","984,200,000","971,700,000","952,700,000","954,400,000","920,000,000","858,800,000","805,300,000","783,700,000","825,800,000","834,700,000","817,800,000","721,400,000","689,500,000","726,000,000","718,800,000","705,800,000","715,400,000","734,000,000","697,700,000","686,400,000","683,700,000","688,000,000","662,700,000","658,200,000","644,600,000","642,800,000","631,400,000","632,000,000","614,800,000","617,000,000","633,000,000","613,600,000","610,300,000","615,300,000","591,100,000","592,500,000","612,200,000","614,500,000","618,700,000","618,000,000","623,300,000","628,600,000","607,600,000","514,700,000","496,800,000","488,900,000","482,800,000","474,600,000","466,200,000","468,200,000","446,700,000","428,600,000","311,900,000","203,600,000","198,400,000","197,900,000","197,300,000","186,300,000","206,600,000","230,200,000","228,200,000","234,500,000","245,600,000","245,600,000","252,500,000","254,000,000","259,000,000","251,400,000","243,000,000","246,600,000","244,500,000","237,900,000","214,000,000","174,800,000","137,800,000","117,500,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LandAndImprovements,,"105,400,000",,,,"105,000,000",,,,"96,700,000",,,,"63,800,000",,,,"51,700,000",,,,"50,200,000",,,,"50,900,000",,,,"41,900,000",,,,"35,400,000",,,,"34,400,000",,,,"32,500,000",,,,"31,700,000",,,,"32,200,000",,,,"19,200,000",,,,"19,400,000",,,,"20,300,000",,,,"22,600,000",,,,"21,100,000",,,,"23,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,,"687,600,000",,,,"660,000,000",,,,"624,200,000",,,,"523,200,000",,,,"405,500,000",,,,"386,000,000",,,,"396,200,000",,,,"298,300,000",,,,"278,700,000",,,,"253,100,000",,,,"241,500,000",,,,"242,300,000",,,,"195,500,000",,,,"164,500,000",,,,"153,800,000",,,,"160,600,000",,,,"151,900,000",,,,"140,200,000",,,,"132,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,,"2,026,900,000",,,,"1,919,500,000",,,,"1,698,500,000",,,,"1,336,900,000",,,,"1,094,100,000",,,,"1,008,600,000",,,,"957,000,000",,,,"783,400,000",,,,"732,000,000",,,,"680,900,000",,,,"597,900,000",,,,"539,800,000",,,,"506,600,000",,,,"511,900,000",,,,"489,900,000",,,,"523,700,000",,,,"496,600,000",,,,"470,700,000","631,400,000","632,000,000","614,800,000","443,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherProperties,,"5,900,000",,,,"3,500,000",,,,"2,500,000",,,,"100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,,"249,300,000",,,,"151,900,000",,,,"322,000,000",,,,"454,400,000",,,,"548,100,000",,,,"423,900,000",,,,"257,100,000",,,,"335,600,000",,,,"177,400,000",,,,"95,500,000",,,,"173,200,000",,,,"157,900,000",,,,"124,500,000",,,,"139,100,000",,,,"62,900,000",,,,"29,400,000",,,,"16,900,000",,,,"10,800,000",,,,"17,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-1,156,000,000","-1,132,300,000","-1,090,800,000","-1,083,400,000","-991,800,000","-963,400,000","-945,600,000","-920,500,000","-913,000,000","-877,600,000","-836,800,000","-807,600,000","-775,700,000","-752,800,000","-751,500,000","-717,700,000","-705,700,000","-673,800,000","-662,800,000","-646,800,000","-630,700,000","-630,500,000","-630,500,000","-627,200,000","-610,500,000","-593,800,000","-579,600,000","-560,200,000","-549,100,000","-544,800,000","-532,800,000","-516,200,000","-511,300,000","-501,400,000","-506,300,000","-502,400,000","-487,200,000","-465,600,000","-468,200,000","-442,600,000","-441,700,000","-443,000,000","-456,500,000","-441,100,000","-421,600,000","-419,400,000","-430,100,000","-436,800,000","-433,400,000","-415,700,000","-405,500,000","-404,900,000","-449,000,000","-464,300,000","-477,200,000","-405,200,000","-392,100,000","-440,800,000","-451,100,000","-441,700,000","-442,400,000","-447,400,000","-425,700,000","-413,100,000","-401,600,000","-394,100,000","-370,800,000","-359,600,000","-342,400,000","-333,400,000","-321,500,000","-312,600,000","-296,900,000","-287,800,000","-281,000,000","-264,800,000","-257,700,000","-255,600,000","-239,600,000","-234,700,000","-230,500,000","-222,400,000","-220,400,000","-207,900,000","-202,100,000","-196,000,000","-186,000,000","-173,900,000","-164,500,000","-157,400,000","-159,200,000","-152,800,000","-147,000,000","-141,400,000","-137,300,000","-129,700,000","-119,700,000","-117,600,000","-114,900,000","-113,100,000","-111,600,000","-103,200,000","-115,300,000","-120,700,000","-117,300,000","-119,800,000","-119,800,000","-115,400,000","-117,100,000","-115,700,000","-119,100,000","-114,100,000","-108,600,000","-107,600,000","-101,900,000","-98,600,000","-82,600,000","-70,800,000","-58,100,000","-48,200,000"
