name,ttm,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989,03/31/1988,03/31/1987,10/31/1985
TotalRevenue,"8,638,643,000,000","8,665,687,000,000","8,543,982,000,000","7,603,250,000,000","8,105,712,000,000","8,215,880,000,000","7,767,266,000,000","6,800,851,000,000","6,493,212,000,000","7,181,273,000,000","7,213,998,000,000","7,729,993,000,000","8,871,414,000,000","8,295,695,000,000","7,474,576,384,800","7,175,165,128,320","7,514,700,137,550","7,463,457,790,080","7,591,408,475,430","7,379,691,520,860","6,481,915,211,600","6,801,119,376,350","6,811,276,589,847.75","5,653,121,153,830.6","4,640,229,209,349","3,867,056,776,037","3,719,214,870,036","3,992,913,726,956","3,918,988,514,018","3,703,691,243,160","2,927,507,711,169","2,210,092,522,934","1,445,796,572,850","1,204,196,949,030","1,439,476,329,280"
	OperatingRevenue,"8,536,596,000,000","8,580,943,000,000","8,452,848,000,000","7,523,612,000,000","8,015,676,000,000","8,113,141,000,000","7,671,218,000,000","6,695,839,000,000","6,493,212,000,000","7,181,273,000,000","7,213,998,000,000","7,729,993,000,000","8,871,414,000,000","8,295,695,000,000","7,474,576,384,800","7,175,165,128,320","7,514,700,137,550","7,463,457,790,080","7,591,408,475,430","7,379,691,520,860","6,481,915,211,600","6,801,119,376,350","6,811,276,589,847.75","5,653,121,153,830.6","4,640,229,209,349","3,867,056,776,037","3,719,214,870,036","3,992,913,726,956","3,918,988,514,018","3,703,691,243,160","2,927,507,711,169","2,210,092,522,934","1,445,796,572,850","1,204,196,949,030","1,439,476,329,280"
CostOfRevenue,"6,244,800,000,000","6,263,196,000,000","6,230,422,000,000","5,663,154,000,000","6,074,652,000,000","6,158,134,000,000","5,956,211,000,000","5,341,396,000,000","5,122,497,000,000","5,507,151,000,000","4,892,563,000,000","5,660,504,000,000","6,290,022,000,000","5,889,601,000,000","5,150,776,914,450","5,010,991,547,800","5,070,579,911,350","5,461,334,273,460","5,248,740,516,890","5,503,934,801,880","4,802,815,365,800","4,959,866,567,200","4,930,074,951,837.6","4,153,206,804,284.52","3,020,511,708,243","2,617,853,763,133","2,506,935,727,908","2,654,438,943,464","2,575,490,578,396","2,299,455,406,815","1,762,583,912,088","1,354,840,863,017","970,798,747,273","832,895,223,050","912,075,146,880"
GrossProfit,"2,393,843,000,000","2,402,491,000,000","2,313,560,000,000","1,940,096,000,000","2,031,060,000,000","2,057,746,000,000","1,811,055,000,000","1,459,455,000,000","1,370,715,000,000","1,674,122,000,000","2,321,435,000,000","2,069,489,000,000","2,581,392,000,000","2,406,094,000,000","2,323,799,470,350","2,164,173,580,520","2,444,120,226,200","2,002,123,516,620","2,342,667,958,540","1,875,756,718,980","1,679,099,845,800","1,841,252,809,150","1,881,201,638,010.15","1,499,914,349,546.08","1,619,717,501,106","1,249,203,012,904","1,212,279,142,128","1,338,474,783,492","1,343,497,935,622","1,404,235,836,345","1,164,923,799,081","855,251,659,917","474,997,825,577","371,301,725,980","527,401,182,400"
OperatingExpense,"1,580,759,000,000","1,576,825,000,000","1,583,197,000,000","1,505,956,000,000","1,691,930,000,000","1,811,461,000,000","1,728,520,000,000","1,457,626,000,000","1,375,887,000,000","1,501,813,000,000","1,544,890,000,000","1,686,030,000,000","1,714,445,000,000","1,788,427,000,000","2,132,532,989,100","2,049,970,584,620","2,344,975,100,150","1,816,905,561,220","2,207,764,521,690","1,648,380,803,670","1,445,848,719,800","1,502,322,242,250","1,356,695,747,310.9","1,130,239,148,821.76","1,381,944,591,297","1,414,840,088,655","1,112,993,238,252","1,212,024,801,372","1,177,063,796,178","1,105,739,949,870","871,511,005,422","694,124,203,140","419,423,663,017","341,087,643,110","393,684,307,520"
	SellingGeneralAndAdministration,"1,505,025,000,000","1,576,825,000,000","1,583,197,000,000","1,505,956,000,000","1,691,930,000,000","1,811,461,000,000","1,728,520,000,000","1,457,626,000,000","1,375,887,000,000","1,501,813,000,000","1,544,890,000,000","1,686,030,000,000","1,714,445,000,000","1,788,427,000,000","2,058,615,850,500","2,021,982,808,160","2,309,424,639,600","1,817,023,534,440","2,207,897,431,480","1,648,380,803,670","1,445,848,719,800","1,502,322,242,250","1,356,695,747,310.9","1,130,239,148,821.76","1,152,268,448,292","1,201,423,917,974","874,797,356,844","937,544,499,584","911,614,232,246","890,873,707,410","707,750,845,008","567,835,473,550","333,730,289,141","270,583,248,670","323,335,948,480"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,"229,676,143,005","213,416,170,681","238,195,881,408","274,480,301,788","265,449,563,932","214,866,242,460","163,760,160,414","126,288,729,590","85,693,373,876","70,504,394,440","70,348,359,040"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,"229,676,143,005","213,416,170,681","238,195,881,408","274,480,301,788","265,449,563,932","214,866,242,460","163,760,160,414","126,288,729,590","85,693,373,876","70,504,394,440","70,348,359,040"
	OtherOperatingExpenses,,,,"149,001,000,000",,,,"-235,219,000,000","-59,594,000,000",,,,,,"73,917,138,600","27,987,776,460","35,550,460,550","-117,973,220","-132,909,790",,,,,,,,,,,,,,,,
OperatingIncome,"813,084,000,000","825,666,000,000","730,363,000,000","434,140,000,000","339,130,000,000","246,285,000,000","82,535,000,000","1,829,000,000","-5,172,000,000","172,309,000,000","776,545,000,000","383,459,000,000","866,947,000,000","617,667,000,000","191,266,481,250","114,202,995,900","99,145,126,050","185,217,955,400","134,903,436,850","227,375,915,310","233,251,126,000","338,930,566,900","524,505,890,699.25","369,675,200,724.32","237,772,909,809","-165,637,075,751","99,285,903,876","126,449,982,120","166,434,139,444","298,495,886,475","293,412,793,659","161,127,456,777","55,574,162,560","30,214,082,870","133,716,874,880"
