name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010
	InterestIncomeNonOperating,,,,,,,,,,,,,,"-12,225,000","-10,418,000",,,,,,,,"1,000","0",,,"0","1,000","0","0","0","1,000","1,000","1,310","2,028","2,000","2,776","4,212","13,180"
	InterestExpenseNonOperating,,"48,000,000","39,000,000","38,000,000","49,000,000","46,000,000","37,931,000","18,548,000","17,096,000","13,701,000","10,892,000","9,192,000","8,245,000","12,225,000",,"10,234,000","10,019,000","10,013,000","10,106,000","10,633,000","10,274,000","10,497,000","7,304,000","9,846,000","7,739,000","6,505,000","4,932,000","1,089,000","535,000","485,000","426,000","1,130,000","1,173,000","881,469","713,126","718,000","601,285","495,768","486,304"
	TotalOtherFinanceCost,,,"39,000,000","38,000,000",,,"37,931,000","18,548,000","17,096,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-1,164,000,000","-476,000,000","-963,000,000","179,000,000","96,000,000","-263,000,000","197,884,000","-46,610,000","30,350,000","-28,710,000","-97,125,000","-50,642,000","41,644,000","38,846,000","-48,397,000","-43,427,000","-180,300,000","-28,827,000","-213,013,000","-245,834,000","-342,141,000","18,869,000","128,685,000","14,949,000","-12,466,000","-4,368,000","39,000","-4,640,000","3,425,000","381,000","1,003,000","-2,477,000","10,489,000","-4,359,362","-12,981,007","-7,000","-16,067","-12,114","-1,261"
	GainOnSaleOfSecurity,"693,000,000","532,000,000","-110,000,000","177,000,000","94,000,000","-264,000,000","234,889,000","-48,572,000","-54,122,000","-31,446,000","-97,888,000","-50,645,000","33,320,000","37,701,000","-16,680,000","2,034,000","-12,125,000","1,426,000","5,117,000","27,603,000","-19,123,000","18,354,000","128,116,000","14,909,000","-11,088,000","-4,398,000","9,000","-4,910,000","3,037,000","-8,000","600,000","-3,148,000","9,957,000","-4,792,104",,"-7,000","-16,067","-12,114",
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","-54,000","-12,618",,"0","0","0",
	SpecialIncomeCharges,,"-1,009,000,000","-846,000,000",,,,"-36,831,000",,,,"0","0","0","0","-33,134,000","-46,368,000","-168,352,000","-30,816,000","-217,610,000","-273,737,000","-323,451,000",,,,,,,,,,,"671,000",,"445,360","-12,973,990","0","0","0","-1,261"
		RestructuringAndMergernAcquisition,,,"0",,,,"36,831,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,"1,009,000,000","790,000,000",,,,,,,,"0","0","0","0","0","46,368,000","168,352,000","30,816,000","217,610,000","273,737,000","323,451,000",,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,"56,000,000",,,,,,,,,,,,"33,134,000",,,,,,,,,,,,,,,,,"-671,000",,"-445,360",,,,,
	OtherNonOperatingIncomeExpenses,"-2,000,000","1,000,000","-7,000,000","2,000,000","2,000,000","1,000,000","-174,000","1,962,000","84,472,000","2,736,000","763,000","3,000","8,324,000","1,145,000","1,417,000","907,000","177,000","563,000","-520,000","300,000","433,000","515,000","569,000","40,000","-1,378,000","30,000","30,000","270,000","388,000","389,000",,,"586,000",,,,,,
PretaxIncome,"35,000,000","-317,000,000","-596,000,000","490,000,000","458,000,000","10,000,000","391,772,000","201,693,000","294,557,000","225,235,000","105,646,000","82,805,000","165,707,000","143,031,000","28,264,000","-600,000","-156,753,000","-35,627,000","-193,322,000","-237,503,000","-328,084,000","9,809,000","156,160,000","68,619,000","42,987,000","37,190,000","31,815,000","23,695,000","22,273,000","8,558,000","3,006,000","436,000","13,624,000","1,359,131",,"2,089,000","3,472,611","2,850,961",
TaxProvision,"163,000,000","83,000,000","-124,000,000","102,000,000","102,000,000","-33,000,000","85,612,000","42,276,000","-6,607,000","47,081,000","-23,961,000","857,000","1,579,000","1,957,000","-176,000",,"368,000","0","-6,487,000","-81,461,000","-116,732,000","3,370,000","56,243,000","23,978,000","15,163,000","13,601,000","11,691,000","9,099,000","7,802,000","3,162,000",,,"0",,,,,,
