name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012
TotalRevenue,"3,480,076,000","807,637,000","1,007,341,000","823,717,000","841,381,000","786,890,000","908,836,000","758,111,000","710,541,000","664,871,000","731,560,000","589,633,000","573,855,000","548,251,000","717,206,000","615,934,000","601,958,000","594,521,000","710,473,000","569,237,000","502,383,000","435,939,000","479,078,000","361,266,000","312,166,000","250,492,000","242,675,000","168,580,000","139,292,000","114,343,000","112,247,000","82,327,000"
	OperatingRevenue,"3,480,076,000","807,637,000","1,007,341,000","823,717,000","841,381,000","786,890,000","908,836,000","758,111,000","710,541,000","664,871,000","731,560,000","589,633,000","573,855,000","548,251,000","717,206,000","615,934,000","601,958,000","594,521,000","710,473,000","569,237,000","502,383,000","435,939,000","479,078,000","361,266,000","312,166,000","250,492,000","242,675,000","168,580,000","139,292,000","114,343,000","112,247,000","82,327,000"
CostOfRevenue,"1,157,067,000","284,037,000","314,008,000","281,057,000","277,965,000","264,011,000","268,345,000","243,644,000","230,185,000","222,823,000","217,979,000","210,016,000","212,908,000","220,339,000","305,710,000","225,159,000","202,966,000","198,405,000","217,963,000","200,195,000","167,623,000","143,475,000","136,613,000","124,166,000","100,027,000","85,503,000","112,651,000","62,239,000","50,573,000","41,255,000","36,918,000","33,693,000"
GrossProfit,"2,323,009,000","523,600,000","693,333,000","542,660,000","563,416,000","522,879,000","640,491,000","514,467,000","480,356,000","442,048,000","513,581,000","379,617,000","360,947,000","327,912,000","411,496,000","390,775,000","398,992,000","396,116,000","492,510,000","369,042,000","334,760,000","292,464,000","342,465,000","237,100,000","212,139,000","164,989,000","130,024,000","106,341,000","88,719,000","73,088,000","75,329,000","48,634,000"
OperatingExpense,"2,057,737,000","531,043,000","540,449,000","498,515,000","487,730,000","429,221,000","433,583,000","422,599,000","400,732,000","367,123,000","403,483,000","372,338,000","399,306,000","368,190,000","555,123,000","468,864,000","485,368,000","455,232,000","559,689,000","474,279,000","465,764,000","439,080,000","440,618,000","398,531,000","362,050,000","294,360,000","639,700,000","169,673,000","127,635,000","96,995,000","84,105,000","69,935,000"
	SellingGeneralAndAdministration,"1,321,314,000","330,655,000","342,209,000","319,962,000","328,488,000","282,975,000","292,409,000","271,835,000","262,158,000","243,777,000","269,487,000","236,223,000","256,135,000","239,462,000","352,995,000","291,815,000","306,857,000","299,438,000","349,631,000","266,342,000","266,857,000","249,334,000","258,903,000","215,189,000","184,955,000","144,969,000","244,852,000","82,366,000","63,372,000","49,421,000","43,765,000","37,616,000"
		GeneralAndAdministrativeExpense,"392,013,000","109,368,000","100,648,000","93,758,000","88,239,000","77,176,000","80,635,000","78,339,000","74,126,000","65,718,000","79,915,000","63,266,000","70,839,000","69,868,000","92,392,000","67,379,000","70,238,000","63,267,000","72,442,000","57,545,000","64,909,000","65,777,000","55,304,000","51,174,000","44,694,000","38,734,000","67,547,000","21,152,000","18,114,000","16,982,000","14,981,000","13,954,000"
			OtherGandA,"392,013,000","109,368,000","100,648,000","93,758,000","88,239,000","77,176,000","80,635,000","78,339,000","74,126,000","65,718,000","79,915,000","63,266,000","70,839,000","69,868,000","92,392,000","67,379,000","70,238,000","63,267,000","72,442,000","57,545,000","64,909,000","65,777,000","55,304,000","51,174,000","44,694,000","38,734,000","67,547,000","21,152,000","18,114,000","16,982,000","14,981,000","13,954,000"
		SellingAndMarketingExpense,"929,301,000","221,287,000","241,561,000","226,204,000","240,249,000","205,799,000","211,774,000","193,496,000","188,032,000","178,059,000","189,572,000","172,957,000","185,296,000","169,594,000","260,603,000","224,436,000","236,619,000","236,171,000","277,189,000","208,797,000","201,948,000","183,557,000","203,599,000","164,015,000","140,261,000","106,235,000","177,305,000","61,214,000","45,258,000","32,439,000","28,784,000","23,662,000"
	ResearchAndDevelopment,"736,423,000","200,388,000","198,240,000","178,553,000","159,242,000","146,246,000","141,174,000","150,764,000","138,574,000","123,346,000","133,996,000","136,115,000","143,171,000","128,728,000","202,128,000","177,049,000","178,511,000","155,794,000","210,058,000","207,937,000","198,907,000","189,746,000","181,715,000","183,342,000","177,095,000","149,391,000","394,848,000","87,307,000","64,263,000","47,574,000","40,340,000","32,319,000"
OperatingIncome,"265,272,000","-7,443,000","152,884,000","44,145,000","75,686,000","93,658,000","206,908,000","91,868,000","79,624,000","74,925,000","110,098,000","7,279,000","-38,359,000","-40,278,000","-143,627,000","-78,089,000","-86,376,000","-59,116,000","-67,179,000","-105,237,000","-131,004,000","-146,616,000","-98,153,000","-161,431,000","-149,911,000","-129,371,000","-509,676,000","-63,332,000","-38,916,000","-23,907,000","-8,776,000","-21,301,000"
NetNonOperatingInterestIncomeExpense,"15,869,000","-373,000","7,550,000","4,122,000","4,570,000","3,281,000","-260,000","-2,269,000","-8,022,000","-10,834,000","-26,700,000","-26,732,000","-26,396,000","-25,409,000","19,000","-24,860,000","-24,934,000","-24,893,000","-24,183,000","-25,239,000","-24,437,000","-24,319,000","-23,513,000","-5,795,000","-2,110,000","-2,567,000","-2,387,000","-1,727,000","-1,513,000","-1,233,000","-830,000","-766,000"
	InterestIncomeNonOperating,"150,059,000","32,897,000","33,927,000","40,348,000","42,887,000","40,541,000","37,013,000","36,067,000","21,960,000","16,181,000",,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"134,190,000","33,270,000","26,377,000","36,226,000","38,317,000","37,260,000","37,273,000","38,336,000","29,982,000","27,015,000","26,700,000","26,732,000","26,396,000","25,409,000","25,281,000","24,860,000","24,934,000","24,893,000","24,183,000","25,239,000","24,437,000","24,319,000",,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,,,,,,,"23,513,000","5,795,000","2,110,000","2,567,000","2,387,000","1,727,000","1,513,000","1,233,000","830,000","766,000"
