name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988
TotalRevenue,"20,023,000,000","3,541,000,000","4,134,000,000","8,657,000,000","3,691,000,000","3,762,000,000","4,034,000,000","8,145,000,000","3,695,000,000","1,081,000,000","1,234,000,000","1,120,000,000","1,112,000,000","1,058,000,000","1,136,000,000","1,053,000,000","1,209,000,000","1,354,000,000","1,529,000,000","1,731,000,000","1,665,000,000","1,902,000,000","1,641,000,000","1,892,000,000","1,680,000,000","1,541,000,000","1,520,000,000","2,144,000,000","2,100,000,000","1,642,000,000","2,143,000,000","2,396,000,000","1,746,000,000","1,865,000,000","2,321,000,000","2,325,000,000","2,204,000,000","1,812,200,000","1,575,000,000","1,437,800,000","1,713,600,000","1,099,100,000","1,099,100,000","856,000,000","922,500,000","1,870,600,000","3,064,300,000","2,621,000,000","1,890,600,000","1,431,400,000","1,295,000,000","1,353,100,000","1,154,700,000","1,022,900,000","953,500,000","928,700,000","861,600,000","930,500,000","938,000,000","1,057,300,000","921,400,000","866,600,000","815,700,000","833,700,000","728,400,000","644,000,000","590,400,000","657,000,000","574,400,000","508,100,000","455,200,000","489,500,000","461,000,000","434,300,000","460,200,000","575,800,000","602,400,000","537,547,000","542,655,000","560,815,000","590,583,000","493,664,000","453,600,000","564,500,000","549,300,000","542,200,000","521,400,000","660,400,000","583,800,000","610,600,000","573,800,000","676,600,000","464,800,000","342,500,000","342,100,000","352,400,000","366,900,000","311,300,000","221,500,000","222,100,000","161,700,000","66,000,000","106,400,000","153,900,000","87,100,000","75,700,000","75,000,000","92,400,000","74,200,000","55,000,000","72,800,000","98,700,000","71,600,000","60,600,000","61,000,000","78,900,000","62,500,000","69,400,000","53,800,000","72,500,000","41,200,000","70,800,000","62,600,000","85,000,000","59,500,000","76,500,000","76,500,000","76,400,000","76,400,000"
	OperatingRevenue,"20,023,000,000","3,541,000,000","4,134,000,000","8,657,000,000","3,691,000,000","3,762,000,000","4,034,000,000","8,145,000,000","3,695,000,000","1,081,000,000","1,234,000,000","1,120,000,000","1,112,000,000","1,058,000,000","1,136,000,000","1,053,000,000","1,209,000,000","1,354,000,000","1,529,000,000","1,731,000,000","1,665,000,000","1,902,000,000","1,641,000,000","1,892,000,000","1,680,000,000","1,541,000,000","1,520,000,000","2,144,000,000","2,100,000,000","1,642,000,000","2,143,000,000","2,396,000,000","1,746,000,000","1,865,000,000","2,321,000,000","2,325,000,000","2,204,000,000","1,812,200,000","1,575,000,000","1,437,800,000","1,713,600,000","1,099,100,000","1,099,100,000","856,000,000","922,500,000","1,870,600,000","3,064,300,000","2,621,000,000","1,890,600,000","1,431,400,000","1,295,000,000","1,353,100,000","1,154,700,000","1,022,900,000","953,500,000","928,700,000","861,600,000","930,500,000","938,000,000","1,057,300,000","921,400,000","866,600,000","815,700,000","833,700,000","728,400,000","644,000,000","590,400,000","657,000,000","574,400,000","508,100,000","455,200,000","489,500,000","461,000,000","434,300,000","460,200,000","575,800,000","602,400,000","537,547,000","542,655,000","560,815,000","590,583,000","493,664,000","453,600,000","564,500,000","549,300,000","542,200,000","521,400,000","660,400,000","583,800,000","610,600,000","573,800,000","676,600,000","464,800,000","342,500,000","342,100,000","352,400,000","366,900,000","311,300,000","221,500,000","222,100,000","161,700,000","66,000,000","106,400,000","153,900,000","87,100,000","75,700,000","75,000,000","92,400,000","74,200,000","55,000,000","72,800,000","98,700,000","71,600,000","60,600,000","61,000,000","78,900,000","62,500,000","69,400,000","53,800,000","72,500,000","41,200,000","70,800,000","62,600,000","85,000,000","59,500,000","76,500,000","76,500,000","76,400,000","76,400,000"
CostOfRevenue,"14,582,000,000","2,527,000,000","2,994,000,000","6,345,000,000","2,716,000,000","2,503,000,000","2,879,000,000","6,014,000,000","2,848,000,000","1,159,000,000","1,004,000,000","865,000,000","844,000,000","895,000,000","946,000,000","810,000,000","975,000,000","968,000,000","1,024,000,000","1,020,000,000","998,000,000","1,156,000,000","1,052,000,000","1,145,000,000","1,115,000,000","1,081,000,000","1,036,000,000","1,165,000,000","1,233,000,000","1,056,000,000","1,216,000,000","1,197,000,000","1,048,000,000","975,000,000","1,189,000,000","1,157,000,000","1,108,000,000","1,049,200,000","1,011,700,000","854,200,000","998,500,000","819,500,000","752,900,000","685,400,000","692,900,000","-3,084,300,000","1,323,300,000","1,183,700,000","1,034,600,000","896,400,000","819,900,000","851,700,000","785,000,000","723,600,000","707,700,000","675,300,000","658,100,000","688,300,000","658,500,000","712,500,000","662,900,000","669,300,000","626,300,000","663,000,000","604,400,000","551,500,000","505,900,000","534,700,000","493,300,000","443,800,000","382,200,000","402,800,000","383,400,000","371,600,000","392,600,000","443,000,000","466,300,000","575,254,000","375,656,000","390,499,000","407,391,000","371,587,000","339,300,000","372,600,000","378,200,000","365,200,000","333,000,000","424,400,000","384,900,000","426,900,000","379,500,000","444,600,000","319,800,000","220,700,000","230,100,000","236,900,000","232,800,000","192,900,000","149,600,000","116,900,000","68,300,000","32,100,000","46,900,000","77,400,000","56,000,000","43,000,000","28,300,000","48,200,000","41,100,000","26,800,000","35,100,000","52,400,000","37,500,000",,,,"30,200,000","36,300,000","30,000,000","36,600,000",,,,,,,,,
GrossProfit,"5,441,000,000","1,014,000,000","1,140,000,000","2,312,000,000","975,000,000","1,259,000,000","1,155,000,000","2,131,000,000","847,000,000","-78,000,000","230,000,000","255,000,000","268,000,000","163,000,000","190,000,000","243,000,000","234,000,000","386,000,000","505,000,000","711,000,000","667,000,000","746,000,000","589,000,000","747,000,000","565,000,000","460,000,000","484,000,000","979,000,000","867,000,000","586,000,000","927,000,000","1,199,000,000","698,000,000","890,000,000","1,132,000,000","1,168,000,000","1,096,000,000","763,000,000","563,300,000","583,600,000","715,100,000","279,600,000","346,200,000","170,600,000","229,600,000","873,100,000","1,741,000,000","1,437,300,000","856,000,000","535,000,000","475,100,000","501,400,000","369,700,000","299,300,000","245,800,000","253,400,000","203,500,000","242,200,000","279,500,000","344,800,000","258,500,000","197,300,000","189,400,000","170,700,000","124,000,000","92,500,000","84,500,000","122,300,000","81,100,000","64,300,000","73,000,000","86,700,000","77,600,000","62,700,000","67,600,000","132,800,000","136,100,000","-37,707,000","166,999,000","170,316,000","183,192,000","122,077,000","114,300,000","191,900,000","171,100,000","177,000,000","188,400,000","236,000,000","198,900,000","183,700,000","194,300,000","232,000,000","145,000,000","121,800,000","112,000,000","115,500,000","134,100,000","118,400,000","71,900,000","105,200,000","93,400,000","33,900,000","59,500,000","76,500,000","31,100,000","32,700,000","46,700,000","44,200,000","33,100,000","28,200,000","37,700,000","46,300,000","34,100,000",,,,"32,300,000","33,100,000","23,800,000","35,900,000",,,,,,,,,
OperatingExpense,"3,361,000,000","784,000,000","795,000,000","1,017,000,000","765,000,000","674,000,000","809,000,000","969,000,000","714,000,000","88,000,000","109,000,000","85,000,000","86,000,000","94,000,000","90,000,000","78,000,000","77,000,000","114,000,000","147,000,000","158,000,000","144,000,000","194,000,000","96,000,000","117,000,000","98,000,000","136,000,000","67,000,000","143,000,000","130,000,000","108,000,000","115,000,000","56,000,000","13,000,000","41,000,000","99,000,000","55,000,000","71,000,000","329,700,000","24,100,000","-85,400,000","53,000,000","-315,900,000","38,000,000","73,200,000","11,200,000","-2,300,000","26,300,000","141,300,000","107,000,000","83,300,000","68,900,000","79,100,000","61,400,000","33,800,000","22,600,000","58,700,000","11,400,000","46,900,000","64,600,000","79,100,000","41,800,000","45,400,000","56,300,000","35,600,000","26,200,000","-16,900,000","33,400,000","49,200,000","41,800,000","21,200,000","28,700,000","48,100,000","42,500,000","33,700,000","27,800,000","48,400,000","40,200,000","-101,393,000","95,680,000","95,982,000","97,931,000","85,585,000","93,100,000","102,500,000","103,300,000","86,400,000","99,900,000","101,700,000","99,000,000","99,000,000","91,000,000","90,300,000","59,800,000","49,000,000","45,200,000","46,200,000","50,200,000","56,600,000","35,400,000","44,800,000","40,600,000","24,500,000","32,900,000","36,800,000","26,000,000","23,900,000","21,200,000","28,700,000","25,200,000","19,600,000","26,000,000","29,400,000","23,700,000",,,,"22,500,000","26,700,000","17,300,000","23,400,000",,,,,,,,,
	SellingGeneralAndAdministration,"3,013,000,000","796,000,000","683,000,000","844,000,000","690,000,000","657,000,000","723,000,000","845,000,000","651,000,000","60,000,000","56,000,000","48,000,000","50,000,000","45,000,000","59,000,000","55,000,000","53,000,000","67,000,000","52,000,000","60,000,000","60,000,000","73,000,000","49,000,000","55,000,000","68,000,000","58,000,000","48,000,000","51,000,000","66,000,000","47,000,000","53,000,000","56,000,000","57,000,000","35,000,000","46,000,000","55,000,000","75,000,000","58,400,000","75,200,000","45,000,000","49,500,000","50,900,000","35,900,000","53,400,000","43,400,000","29,800,000","31,700,000","79,700,000","47,200,000","54,600,000","43,900,000","73,500,000","40,600,000","43,800,000","35,900,000","47,900,000","30,800,000","28,500,000","31,800,000","54,900,000","29,300,000","46,800,000","32,200,000","25,400,000","26,200,000","24,300,000","24,200,000","23,900,000","23,700,000","23,100,000","21,800,000","24,000,000","22,800,000","26,900,000","23,900,000","23,500,000","25,400,000","31,740,000","30,571,000","26,497,000","22,192,000","26,494,000","32,000,000","28,400,000","29,400,000","29,500,000","28,200,000","28,400,000","29,900,000","26,900,000","25,600,000","27,900,000","19,300,000","15,400,000","15,500,000","14,400,000","15,000,000","18,900,000","15,500,000","13,600,000","14,900,000","11,700,000","12,100,000","12,900,000","12,800,000","12,700,000","9,700,000","12,700,000","11,800,000","10,900,000","10,900,000","12,700,000","11,400,000",,,,"9,200,000","12,900,000","7,700,000","7,800,000",,,,,,,,,
		GeneralAndAdministrativeExpense,"508,000,000","126,000,000","76,000,000","154,000,000","152,000,000","78,000,000","163,000,000","179,000,000","119,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"104,000,000","9,000,000","21,000,000","59,000,000","57,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"404,000,000","117,000,000","97,000,000","95,000,000","95,000,000","78,000,000","163,000,000","179,000,000","119,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"2,505,000,000","670,000,000","607,000,000","690,000,000","538,000,000","579,000,000","560,000,000","666,000,000","532,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,461,000","47,869,000","49,537,000","42,906,000","47,900,000","51,200,000","49,100,000","45,100,000","48,200,000","49,400,000","48,200,000","47,300,000","44,800,000","47,900,000","30,000,000","22,900,000","21,100,000","22,800,000","23,300,000","26,900,000","11,100,000","19,600,000","13,400,000","6,200,000","10,400,000","14,200,000","7,900,000","7,700,000","6,400,000","10,000,000","8,600,000","6,100,000","9,100,000","10,200,000","7,700,000",,,,"8,400,000","8,800,000","7,300,000","9,400,000",,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,461,000","47,869,000","49,537,000","42,906,000","47,900,000","51,200,000","49,100,000","45,100,000","48,200,000","49,400,000","48,200,000","47,300,000","44,800,000","47,900,000","30,000,000","22,900,000","21,100,000","22,800,000","23,300,000","26,900,000","11,100,000","19,600,000","13,400,000","6,200,000","10,400,000","14,200,000","7,900,000","7,700,000","6,400,000","10,000,000","8,600,000","6,100,000","9,100,000","10,200,000","7,700,000",,,,"8,400,000","8,800,000","7,300,000","9,400,000",,,,,,,,,
	OtherTaxes,"292,000,000","39,000,000","92,000,000","96,000,000","65,000,000","58,000,000","79,000,000","65,000,000","48,000,000","26,000,000","47,000,000","44,000,000","34,000,000","36,000,000","31,000,000","26,000,000","31,000,000","46,000,000","79,000,000","90,000,000","95,000,000","82,000,000","52,000,000","69,000,000","54,000,000","40,000,000","10,000,000","81,000,000","63,000,000","18,000,000","62,000,000","72,000,000","28,000,000","0","53,000,000","60,000,000","34,000,000","20,600,000","16,200,000","17,200,000","22,500,000","12,000,000","2,100,000","-18,100,000","33,000,000","109,000,000","172,000,000","163,000,000","99,400,000","40,100,000","28,200,000","34,600,000","32,500,000","25,300,000","12,500,000","14,500,000","14,200,000","25,800,000","28,800,000","44,200,000","38,400,000","25,100,000","23,100,000","29,300,000","15,100,000","11,900,000","12,200,000","14,800,000","18,100,000","12,800,000","15,200,000","20,300,000","19,700,000","15,700,000","17,800,000","21,700,000","14,800,000","10,734,000","18,648,000","21,616,000","26,202,000","16,185,000","13,200,000","22,900,000","24,800,000","11,800,000","23,500,000","23,900,000","20,900,000","24,800,000","20,600,000","14,500,000","10,500,000","10,700,000","8,600,000","9,000,000","11,900,000","10,800,000","8,800,000","11,600,000","12,300,000","6,600,000","10,400,000","9,700,000","5,300,000","3,500,000","5,100,000","6,000,000","4,800,000","2,600,000","6,000,000","6,500,000","4,600,000",,,,"4,900,000","5,000,000","2,300,000","6,200,000",,,,,,,,,
	OtherOperatingExpenses,"56,000,000","-51,000,000","20,000,000","77,000,000","10,000,000","-41,000,000","7,000,000","59,000,000","15,000,000","2,000,000","6,000,000","-7,000,000","2,000,000","13,000,000",,"-3,000,000","-7,000,000","1,000,000","16,000,000","8,000,000","-11,000,000","39,000,000","-5,000,000","-7,000,000","-24,000,000","30,000,000","9,000,000","11,000,000","1,000,000","20,000,000","-106,000,000",,"-72,000,000",,,"-122,000,000","-38,000,000","250,700,000","-67,300,000","-147,600,000","-19,000,000",,,"37,900,000","-65,200,000","-141,100,000","-177,400,000","-101,400,000","-39,600,000","-11,400,000","-3,200,000","-29,000,000","-11,700,000","-35,300,000","-25,800,000","-3,700,000","-33,600,000","-7,400,000","4,000,000","-20,000,000","-25,900,000","-26,500,000","1,000,000","-19,100,000","-15,100,000","-53,100,000","-3,000,000","10,500,000",,"-14,700,000","-8,300,000","3,800,000",,"-8,900,000","-13,900,000","3,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"2,080,000,000","230,000,000","345,000,000","1,295,000,000","210,000,000","585,000,000","346,000,000","1,162,000,000","133,000,000","-166,000,000","121,000,000","170,000,000","182,000,000","69,000,000","100,000,000","165,000,000","157,000,000","272,000,000","358,000,000","553,000,000","523,000,000","552,000,000","493,000,000","630,000,000","467,000,000","324,000,000","417,000,000","836,000,000","737,000,000","478,000,000","812,000,000","1,143,000,000","685,000,000","849,000,000","1,033,000,000","1,113,000,000","1,025,000,000","433,300,000","539,200,000","669,000,000","662,100,000","595,500,000","308,200,000","97,400,000","218,400,000","4,957,200,000","1,714,700,000","1,296,000,000","749,000,000","451,700,000","406,200,000","422,300,000","308,300,000","265,500,000","223,200,000","194,700,000","192,100,000","195,300,000","214,900,000","265,700,000","216,700,000","151,900,000","133,100,000","135,100,000","97,800,000","109,400,000","51,100,000","73,100,000","39,300,000","43,100,000","44,300,000","38,600,000","35,100,000","29,000,000","39,800,000","84,400,000","95,900,000","63,686,000","71,319,000","74,334,000","85,261,000","36,492,000","21,200,000","89,400,000","67,800,000","90,600,000","88,500,000","134,300,000","99,900,000","84,700,000","103,300,000","141,700,000","85,200,000","72,800,000","66,800,000","69,300,000","83,900,000","61,800,000","36,500,000","60,400,000","52,800,000","9,400,000","26,600,000","39,700,000","5,100,000","8,800,000","25,500,000","15,500,000","7,900,000","8,600,000","11,700,000","16,900,000","10,400,000","-160,700,000","61,000,000","78,900,000","9,800,000","6,400,000","6,500,000","12,500,000","41,200,000","-130,800,000","62,600,000","85,000,000","59,500,000","-114,900,000","76,500,000","76,400,000","76,400,000"
NetNonOperatingInterestIncomeExpense,"-554,000,000","-141,000,000","-147,000,000","-143,000,000","-123,000,000","-144,000,000","-142,000,000","-133,000,000","-119,000,000","-58,000,000","-60,000,000","-61,000,000","-59,000,000","-55,000,000","-55,000,000","-54,000,000","-52,000,000","-44,000,000","-49,000,000","-50,000,000","-49,000,000","-42,000,000","-47,000,000","-48,000,000","-47,000,000","-37,000,000","-33,000,000","-39,000,000","-35,000,000","-25,000,000","-24,000,000","-31,000,000","-34,000,000","-34,000,000","-37,000,000","-38,000,000","-46,000,000","-29,400,000","-16,500,000","-22,700,000","-30,500,000","-40,100,000","-31,100,000","-26,500,000","-23,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"5,000,000",,,,,,,,"1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,000,000","1,200,000","1,200,000","800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"505,000,000","92,000,000","147,000,000","143,000,000","123,000,000","110,000,000","142,000,000","133,000,000","113,000,000","43,000,000","60,000,000","61,000,000","59,000,000","44,000,000","55,000,000","54,000,000","52,000,000","33,000,000","49,000,000","50,000,000","49,000,000","28,000,000","47,000,000","48,000,000","47,000,000","27,000,000","33,000,000","39,000,000","35,000,000","17,000,000","24,000,000","31,000,000","34,000,000","34,000,000","37,000,000","38,000,000","50,000,000","30,600,000","17,700,000","23,500,000","30,500,000","50,600,000","31,100,000","26,500,000","23,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"54,000,000",,,,,,,,"7,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-218,000,000","-167,000,000","-17,000,000",,"-34,000,000","-39,000,000","-1,705,000,000","-11,000,000","-57,000,000","-181,000,000","14,000,000","30,000,000","39,000,000","17,000,000","38,000,000","34,000,000","2,000,000","42,000,000","63,000,000","66,000,000","36,000,000","59,000,000","27,000,000","56,000,000","64,000,000","43,000,000","88,000,000","91,000,000","80,000,000","81,000,000","106,000,000","-413,000,000",,"115,000,000","109,000,000","60,000,000","-4,000,000",,,,,,"-50,200,000","-188,400,000",,,"177,400,000","101,400,000","39,600,000","11,400,000","3,200,000","29,000,000","11,700,000","35,300,000","25,800,000","3,700,000","33,600,000","7,400,000","-4,000,000","20,000,000","25,900,000","-311,900,000","-1,000,000","7,300,000","15,100,000","-50,700,000","-521,000,000","-10,500,000","-16,800,000","14,700,000","8,300,000","-3,800,000","5,800,000","8,900,000","13,900,000","-3,200,000","20,600,000","-45,090,000","8,789,000","22,876,000","21,325,000","-18,210,000","-1,153,500,000","7,500,000","7,100,000","3,200,000","7,200,000","12,600,000","9,900,000","8,600,000","5,500,000","12,900,000","5,300,000","-1,300,000","-400,000","5,100,000","3,200,000","4,200,000","4,700,000","3,900,000",,,,"100,000","4,400,000",,,"2,900,000","1,000,000","1,700,000","4,300,000","2,000,000","2,300,000",,,,"2,800,000","6,000,000","1,400,000","300,000",,,,,,,,,
	GainOnSaleOfSecurity,"-42,000,000","-28,000,000","-2,000,000","-5,000,000","-7,000,000","8,000,000",,,"2,000,000","-16,000,000","-9,000,000","-5,000,000","9,000,000","14,000,000","13,000,000","14,000,000","-17,000,000","24,000,000","31,000,000","31,000,000",,"25,000,000","7,000,000","24,000,000","69,000,000","25,000,000","31,000,000","54,000,000",,"48,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,"66,000,000","13,000,000","6,000,000","30,000,000","17,000,000",,"15,000,000","4,000,000","7,000,000","-114,000,000","33,000,000","49,000,000","39,000,000","21,000,000","25,000,000","30,000,000","19,000,000","18,000,000","32,000,000","35,000,000","36,000,000","17,000,000","20,000,000","32,000,000","33,000,000","21,000,000","57,000,000","37,000,000","80,000,000","58,000,000","77,000,000",,,"76,000,000","68,000,000",,,,,,,,,,,,,"60,300,000","25,300,000","18,000,000","15,400,000","29,800,000","13,000,000",,"10,600,000","16,000,000","12,400,000",,"16,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-242,000,000","-152,000,000","-21,000,000","-25,000,000","-44,000,000","-21,000,000","-1,720,000,000","-15,000,000","-66,000,000","-51,000,000","-10,000,000","-14,000,000","-9,000,000","-18,000,000","0","-10,000,000",,"0","0","0","0","17,000,000","0","0","-38,000,000","-3,000,000","0","0",,"-128,000,000","29,000,000","-413,000,000",,"39,000,000","41,000,000","60,000,000","-4,000,000",,,,,,"-50,200,000","-188,400,000",,,"177,400,000","41,100,000","14,300,000","-6,600,000","-12,200,000","-800,000","-1,300,000","74,300,000","15,200,000","-12,300,000","21,200,000","50,700,000","-20,800,000","20,000,000","25,900,000","-311,900,000","-1,000,000","7,300,000","15,100,000","-50,700,000","-521,000,000","-10,500,000","-16,800,000","14,700,000","8,300,000","-3,800,000","5,800,000","8,900,000","13,900,000","-3,200,000","20,600,000","-45,090,000","8,789,000","22,876,000","21,325,000","-18,210,000","-1,153,500,000","7,500,000","7,100,000","3,200,000","7,200,000","12,600,000","9,900,000","8,600,000","5,500,000","12,900,000","5,300,000","-1,300,000","-400,000","5,100,000","3,200,000","4,200,000","4,700,000","3,900,000",,,,"100,000","4,400,000",,,"2,900,000","1,000,000","1,700,000","4,300,000","2,000,000","2,300,000",,,,"2,800,000","6,000,000","1,400,000","300,000",,,,,,,,,
		RestructuringAndMergernAcquisition,"98,000,000","41,000,000","21,000,000","25,000,000","11,000,000","21,000,000","-89,000,000","15,000,000","66,000,000","51,000,000","10,000,000","14,000,000","9,000,000","10,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"120,000,000","87,000,000","0",,,"0","1,809,000,000",,,,,,,,,,,,,,,,,,,,,,,,"0","341,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,"24,000,000",,,"0","33,000,000",,,,,"0","0","0",,"0","0","10,000,000",,"0","0","0","0","0","0","0","38,000,000","0","0","0",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"128,000,000","-29,000,000","72,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"1,308,000,000","-78,000,000","181,000,000","1,152,000,000","53,000,000","402,000,000","-1,501,000,000","1,018,000,000","-43,000,000","-405,000,000","75,000,000","139,000,000","162,000,000","31,000,000","83,000,000","145,000,000","107,000,000","270,000,000","372,000,000","569,000,000","510,000,000","569,000,000","473,000,000","638,000,000","484,000,000","330,000,000","472,000,000","888,000,000","782,000,000","534,000,000","894,000,000","826,000,000","651,000,000","930,000,000","1,105,000,000","1,137,000,000","975,000,000","648,400,000","522,700,000","646,300,000","631,600,000","289,500,000","327,300,000","259,300,000","195,200,000","854,800,000","1,699,400,000","1,280,300,000","737,800,000","436,000,000","393,500,000","401,500,000","282,800,000","249,000,000","198,000,000","174,000,000","168,900,000","174,700,000","194,500,000","245,100,000","196,000,000","134,000,000","112,300,000","108,300,000","75,700,000","33,400,000","-235,500,000","49,900,000","5,300,000","22,500,000","22,800,000","18,600,000","19,900,000","7,100,000","17,400,000","64,300,000","100,700,000","27,244,000","63,502,000","82,356,000","92,098,000","15,575,000","-564,800,000","84,900,000","59,900,000","79,200,000","79,700,000","129,900,000","89,700,000","72,200,000","86,100,000","131,200,000","76,700,000","61,600,000","55,400,000","62,500,000","73,300,000","50,500,000","27,400,000","52,000,000","52,800,000","20,800,000","25,800,000","38,600,000","8,100,000","4,800,000","23,800,000","16,600,000","6,900,000","8,400,000","13,700,000","16,100,000","10,200,000",,,,"9,300,000",,,,,,,,,,,,
