name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000
TotalRevenue,"5,628,900,000","1,381,800,000","1,461,000,000","1,437,600,000","1,348,500,000","1,334,200,000","2,055,900,000","1,947,200,000","1,903,900,000","1,884,200,000","2,106,200,000","1,912,400,000","1,821,800,000","1,879,000,000","1,827,600,000","1,885,600,000","1,748,800,000","1,676,100,000","1,748,854,000","1,589,117,000","1,500,618,000","1,601,157,000","1,485,749,000","1,319,133,000","1,265,158,000","1,232,900,000","1,141,087,000","1,096,447,000","1,028,092,000","1,053,437,000","971,844,000","911,492,000","866,485,000","891,569,000","847,549,000","844,844,000","740,458,000","740,436,000","755,723,000","702,443,000","669,718,000","663,537,000","540,489,000","483,186,000","460,410,000","480,256,000","507,582,000","511,225,000","507,210,000","499,250,000","602,708,000","575,525,000","563,800,000","549,158,000","524,480,000","506,584,000","490,447,000","477,231,000","421,181,000","384,813,000","370,568,000","375,875,000","346,836,000","298,872,000","300,453,000","312,406,000","305,716,000","255,673,000","247,567,000","240,189,000","236,832,000","218,739,000","205,541,000","210,339,000","213,942,000","200,152,000","182,565,000","180,692,000","177,152,000","168,807,000"
	OperatingRevenue,"4,982,600,000","1,260,900,000","1,233,200,000","1,293,700,000","1,194,800,000","1,222,300,000","1,822,600,000","1,783,600,000","1,756,400,000","1,752,300,000","1,816,300,000","1,702,400,000","1,637,300,000","1,628,100,000","1,631,400,000","1,543,600,000","1,420,300,000","1,342,500,000","1,414,469,000","1,319,999,000","1,236,133,000","1,243,943,000","1,134,235,000","1,038,579,000","958,253,000","948,710,000","941,060,000","926,812,000","851,807,000","855,358,000","206,193,000","911,492,000","834,011,000","891,569,000","847,549,000","844,844,000","740,458,000","740,436,000","755,723,000","702,443,000","669,718,000","663,537,000","540,489,000","483,186,000","460,410,000","480,256,000","507,582,000","511,225,000","507,210,000","499,250,000","602,708,000","575,525,000","563,800,000","549,158,000","506,912,000","479,537,000","490,447,000","477,231,000","421,181,000","384,813,000","370,568,000","375,875,000","335,986,000","293,229,000","210,881,000","199,875,000","2,323,000","249,870,000","169,389,000","152,481,000","166,890,000","162,338,000","158,960,000","153,637,000","163,704,000","151,835,000","147,397,000","129,485,000","2,258,000","168,807,000"
CostOfRevenue,"2,546,500,000","499,200,000","705,200,000","687,500,000","654,800,000","640,500,000","1,144,700,000","1,060,600,000","1,001,600,000","1,013,900,000","1,146,800,000","1,066,500,000","1,014,400,000","1,042,100,000","1,199,200,000","1,045,600,000","1,027,900,000","1,003,900,000","1,026,999,000","901,095,000","896,543,000","989,863,000","895,564,000","767,415,000","783,369,000","772,426,000","681,066,000","628,386,000","619,285,000","620,422,000","573,797,000","499,455,000","506,455,000","526,905,000","499,114,000","476,993,000","431,250,000","404,525,000","443,252,000","384,301,000","357,704,000","360,123,000","377,862,000","327,081,000","327,305,000","321,890,000","341,149,000","335,117,000","340,962,000","324,811,000","449,307,000","401,505,000","402,349,000","377,868,000","392,701,000","357,247,000","354,353,000","330,319,000","312,179,000","277,627,000","270,628,000","264,157,000","261,325,000","218,908,000","216,944,000","219,025,000","228,979,000","191,241,000","186,540,000","180,406,000","177,903,000","167,631,000","160,695,000","164,781,000","158,414,000","156,018,000","145,801,000","143,258,000","142,365,000","135,955,000"
GrossProfit,"3,082,400,000","882,600,000","755,800,000","750,100,000","693,700,000","693,700,000","911,200,000","886,600,000","902,300,000","870,300,000","959,400,000","845,900,000","807,400,000","836,900,000","628,400,000","840,000,000","720,900,000","672,200,000","721,855,000","688,022,000","604,075,000","611,294,000","590,185,000","551,718,000","481,789,000","460,474,000","460,021,000","468,061,000","408,807,000","433,015,000","398,047,000","412,037,000","360,030,000","364,664,000","348,435,000","367,851,000","309,208,000","335,911,000","312,471,000","318,142,000","312,014,000","303,414,000","162,627,000","156,105,000","133,105,000","158,366,000","166,433,000","176,108,000","166,248,000","174,439,000","153,401,000","174,020,000","161,451,000","171,290,000","131,779,000","149,337,000","136,094,000","146,912,000","109,002,000","107,186,000","99,940,000","111,718,000","85,511,000","79,964,000","83,509,000","93,381,000","76,737,000","64,432,000","61,027,000","59,783,000","58,929,000","51,108,000","44,846,000","45,558,000","55,528,000","44,134,000","36,764,000","37,434,000","34,787,000","32,852,000"
OperatingExpense,"1,896,000,000","718,600,000","446,800,000","374,000,000","356,400,000","336,800,000","337,000,000","364,600,000","482,000,000","492,500,000","496,700,000","367,000,000","456,000,000","484,500,000","448,700,000","419,000,000","400,300,000","327,900,000","357,773,000","335,948,000","318,352,000","286,750,000","377,691,000","230,077,000","199,249,000","178,682,000","210,282,000","179,293,000","139,627,000","141,790,000","181,316,000","147,566,000","119,487,000","112,045,000","167,133,000","140,172,000","117,417,000","124,003,000","171,838,000","148,133,000","151,634,000","145,216,000","56,284,000","61,304,000","50,432,000","57,153,000","57,728,000","58,410,000","49,267,000","54,269,000","71,045,000","105,409,000","64,375,000","62,709,000","-3,069,092,000","60,128,000","52,912,000","47,504,000","54,796,000","47,381,000","42,593,000","49,469,000","57,559,000","37,206,000","36,525,000","37,849,000","33,855,000","31,087,000","29,494,000","-154,776,000","34,143,000","28,190,000","26,713,000","30,746,000","36,690,000","30,040,000","26,094,000","26,813,000","27,303,000","26,602,000"
	SellingGeneralAndAdministration,"136,200,000","23,900,000","23,200,000","31,800,000","57,300,000","38,300,000","46,200,000","45,300,000","48,100,000","33,100,000","41,400,000","38,000,000","42,400,000","44,600,000","31,800,000","41,000,000","42,900,000","27,600,000","26,491,000","40,890,000","40,909,000","30,193,000","39,970,000","39,169,000","28,302,000","34,027,000","24,723,000","33,845,000","28,255,000","22,292,000","31,944,000","24,584,000","27,532,000","23,999,000","27,054,000","26,242,000","21,021,000","20,939,000","22,333,000","19,767,000","21,509,000","22,164,000","22,647,000","30,137,000","19,220,000","27,819,000","25,295,000","24,344,000","14,897,000","18,268,000","13,891,000","22,488,000","21,216,000","23,303,000","22,698,000","28,150,000","21,001,000","19,966,000","25,572,000","23,050,000","18,611,000","24,299,000","33,246,000","15,414,000","14,545,000","14,535,000","13,192,000","12,945,000","11,015,000","16,875,000","16,857,000","11,563,000","10,260,000","14,638,000","16,249,000","11,563,000","8,287,000","9,333,000","9,029,000","7,336,000"
		GeneralAndAdministrativeExpense,"136,200,000","23,900,000","23,200,000","31,800,000","57,300,000","38,300,000","46,200,000","45,300,000","48,100,000","33,100,000","41,400,000","38,000,000","42,400,000","44,600,000","31,800,000","41,000,000","42,900,000","27,600,000","26,491,000","40,890,000","40,909,000","30,193,000","39,970,000","39,169,000","28,302,000","34,027,000","24,723,000","33,845,000","28,255,000","22,292,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"136,200,000","23,900,000","23,200,000","31,800,000","57,300,000","38,300,000","46,200,000","45,300,000","48,100,000","33,100,000","41,400,000","38,000,000","42,400,000","44,600,000","31,800,000","41,000,000","42,900,000","27,600,000","26,491,000","40,890,000","40,909,000","30,193,000","39,970,000","39,169,000","28,302,000","34,027,000","24,723,000","33,845,000","28,255,000","22,292,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"168,500,000","38,800,000","42,900,000","44,900,000","41,800,000","46,400,000","121,100,000","122,500,000","122,000,000","121,700,000","123,100,000","124,300,000","125,500,000","124,800,000","127,400,000","126,700,000","129,600,000","128,400,000","125,026,000","123,380,000","122,106,000","121,628,000","88,383,000","76,331,000","74,295,000","74,073,000","55,221,000","54,472,000","53,576,000","52,850,000","47,022,000","41,732,000","39,403,000","38,719,000","38,502,000","43,233,000","36,020,000","35,398,000","36,727,000","37,907,000","34,421,000","34,171,000","33,637,000","31,167,000","31,148,000","29,334,000","32,433,000","34,066,000","34,370,000","34,949,000","41,109,000","42,960,000","43,157,000","39,406,000","33,613,000","31,978,000","31,911,000","27,538,000","26,224,000","24,331,000","23,982,000","25,170,000","24,313,000","21,792,000","21,980,000","23,314,000","20,663,000","18,142,000","18,479,000","17,278,000","17,286,000","16,627,000","16,453,000","16,108,000","20,441,000","18,477,000","17,807,000","17,480,000","18,274,000","19,266,000"
		DepreciationAndAmortizationInIncomeStatement,"168,500,000","38,800,000","42,900,000","44,900,000","41,800,000","46,400,000","121,100,000","122,500,000","122,000,000","121,700,000","123,100,000","124,300,000","125,500,000","124,800,000","127,400,000","126,700,000","129,600,000","128,400,000","125,026,000","123,380,000","122,106,000","121,628,000","88,383,000","76,331,000","74,295,000","74,073,000","55,221,000","54,472,000","53,576,000","52,850,000","47,022,000","41,732,000","39,403,000","38,719,000","38,502,000","43,233,000","36,020,000","35,398,000","36,727,000","37,907,000","34,421,000","34,171,000","33,637,000","31,167,000","31,148,000","29,334,000","32,433,000","34,066,000","34,370,000","34,949,000","41,109,000","42,960,000","43,157,000","39,406,000","33,613,000","31,978,000","31,911,000","27,538,000","26,224,000","24,331,000","23,982,000","25,170,000","24,313,000","21,792,000","21,980,000","23,314,000","20,663,000","18,142,000","18,479,000","17,278,000","17,286,000","16,627,000","16,453,000","16,108,000","20,441,000","18,477,000","17,807,000","17,480,000","18,274,000","19,266,000"
