name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
TotalRevenue,"3,990,700,000","3,923,900,000","3,399,781,000","2,625,924,000","2,440,413,000","2,065,008,000","1,859,922,000","1,631,997,000","1,239,705,000","597,281,000","438,065,000","416,613,000","618,058,000","567,180,000","287,566,000","237,856,000","193,574,000","209,554,000","250,313,000","194,620,000","195,080,000","159,473,000","132,700,000","107,800,000","88,200,000","62,000,000","48,400,000","38,100,000","32,700,000","26,200,000"
	OperatingRevenue,"3,990,700,000","3,923,900,000","3,399,781,000","2,625,924,000","2,440,413,000","2,065,008,000","1,859,922,000","1,631,997,000","1,239,705,000","597,281,000","438,065,000","416,613,000","618,058,000","567,180,000","287,566,000","237,856,000","193,574,000","209,554,000","250,313,000","194,620,000","195,080,000","159,473,000","132,700,000","107,800,000","88,200,000","62,000,000","48,400,000","38,100,000","32,700,000","26,200,000"
CostOfRevenue,"2,843,700,000","2,793,900,000","2,376,130,000","1,775,851,000","1,645,230,000","1,386,263,000","1,262,010,000","1,143,591,000","855,382,000","397,176,000","288,609,000","280,245,000","418,602,000","387,643,000","209,725,000","174,627,000","143,663,000","153,381,000","176,520,000","131,343,000","129,959,000","106,494,000","89,800,000","73,900,000","60,500,000","42,400,000","32,900,000","26,200,000","22,300,000","17,700,000"
GrossProfit,"1,147,000,000","1,130,000,000","1,023,651,000","850,073,000","795,183,000","678,745,000","597,912,000","488,406,000","384,323,000","200,105,000","149,456,000","136,368,000","199,456,000","179,537,000","77,841,000","63,229,000","49,911,000","56,173,000","73,793,000","63,277,000","65,121,000","52,979,000","42,900,000","33,900,000","27,700,000","19,600,000","15,500,000","11,900,000","10,400,000","8,500,000"
OperatingExpense,"830,200,000","821,400,000","763,503,000","625,337,000","605,457,000","526,637,000","451,642,000","364,438,000","291,544,000","155,706,000","130,830,000","121,141,000","155,942,000","151,942,000","67,900,000","64,135,000","97,023,000","139,332,000","54,675,000","38,766,000","36,924,000","31,586,000","26,200,000","21,500,000","18,800,000","12,900,000","10,100,000","8,000,000","7,500,000","6,700,000"
	SellingGeneralAndAdministration,"780,800,000","770,300,000","704,997,000","591,893,000","565,829,000","492,170,000","427,241,000","342,687,000","273,528,000","155,706,000","130,830,000","121,141,000","155,942,000","151,942,000","67,900,000","64,135,000","66,695,000","59,435,000","54,675,000","38,766,000","35,532,000","30,428,000","25,300,000","20,700,000","18,100,000","12,400,000","9,700,000","7,600,000","7,100,000","6,500,000"
	DepreciationAmortizationDepletionIncomeStatement,"49,400,000","51,100,000","58,506,000","33,444,000","39,628,000","34,467,000","24,401,000","21,751,000","18,016,000",,,,,,,,,"79,897,000",,,"1,392,000","1,158,000","900,000","800,000","700,000","500,000","400,000","400,000","400,000","200,000"
		DepreciationAndAmortizationInIncomeStatement,"49,400,000","51,100,000","58,506,000","33,444,000","39,628,000","34,467,000","24,401,000","21,751,000","18,016,000",,,,,,,,,"79,897,000",,,"1,392,000","1,158,000","900,000","800,000","700,000","500,000","400,000","400,000","400,000","200,000"
			Amortization,"49,400,000","51,100,000","58,506,000","33,444,000","39,628,000","34,467,000","24,401,000","21,751,000","18,016,000",,,,,,,,,"79,897,000",,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"49,400,000","51,100,000","58,506,000","33,444,000","39,628,000","34,467,000","24,401,000","21,751,000","18,016,000",,,,,,,,,"79,897,000",,,,,,,,,,,,
